"","AAA_21","ArsR","Avs1a_00001","BrxF_00001","CARF_TM_CARF_TM","COG0640","COG1343","COG2378","Cas12a","Cas12a_M13","Cas12a_M28","Cas12a_M29","Cas12a_M31","Cas12a_M58","Cas12a_M59","Cas14u","Cas2_IIIa_Cas2_IIIa","Cas2d_WP_013277804.1","Cas3c_WP_004513240.1","Control_protein_00001","DpdA_00001","DpdF_00007","Dsr2_00001","E1E2_00021","E2_00015","Effector_00047","Effector_00074","GajB_00012","GajB_00020","Hydrolase.Tm","IetA_00002","JetC3_00004","LmuB1_00004","MTase_II_00053","MTase_II_00096","MTase_II_00131","MTase_II_00139","PbeA_00005","PbeB_00001","PbeC_00010","PbeC_00031","PglW_00001","PtuA1_00010","PtuA1_00041","REase_II_00073","REase_I_00009","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","SduA_00029","Specificity_I_00003","Specificity_I_00093","SspF_00001","TRIP13_00002","ThsB1_00020","Type_V_Cas12a","ZorA1_00003","ZorA1_00004","cas1_PREFRAN","cas4_PREFRAN","cas_Cpf1","cas_HTH","cd09694","cls000742","cluster10","cmr5_IIIC_maka_1","cpf1_V_maka","drt.cluster22","drt.cluster302","drt.cluster972","icity0013","icity0088","mkCas0211","oMTase_00008","pAgo_WP_070666724.1","pVip.kinase","pfam09827","pfam13280","retron_type_III_A5_prtase_various_cluster","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_VI_hth_cluster2_1","retron_type_V_csd_cluster85_1","shah_acc_0035","shah_acc_0055","shah_acc_0186","shah_acc_0214"
"5",0.010471204,0,0,0,0,0,0,0.057591623,0,0.565445026,0.54973822,0,0,0,0.005235602,0,0,0.010471204,0,0,0,0,0.015706806,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0.005235602,0.005235602,0,0,0,0.005235602,0,0,0,0,0,0.010471204,0,0,0,0.020942408,0,0,0,0,0.921465969,1.010471204,0.005235602,0.015706806,0,0,0.015706806,0,0,0.005235602,0,0,0,0,0,0,0,0,0.968586387,0.010471204,0.010471204,0,0.314136126,0,0,0,0,0
"6",0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0.34375,0,0.125,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0.75,0.03125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.596685083,0.005524862,0,0,0,0.011049724,0,0,0.005524862,0.756906077,0.044198895,0,0,0,0,0.005524862,0.022099448,0.005524862,0,0,0,0.110497238,0,0,0,0,0,0,0,0,0.011049724,0,0,0,0,0,0,0,0,0,0,0.027624309,0,0,0,0,0,0.011049724,0,0,0,0.005524862,0,0,0,0,0.248618785,0.977900552,0,0.005524862,0,0,0,0,0.226519337,0.005524862,0.011049724,0,0,0,0,0,0,0,0.209944751,0.011049724,0,0.486187845,0.143646409,0,0,0.447513812,0.011049724,0
"12",0.018181818,0,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0.006060606,0.775757576,0,0,0,0,0,0,0.612121212,0,0,0,0,0,0,0.042424242,0.509090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575757576,0.575757576,0,0,0,0.636363636,0,0,0,1.018181818,0.503030303,0,0,0,0.43030303,0,0,1.012121212,0,0,0,0,0,0,0,0,0,0.218181818,0,0,0,0.006060606,0.490909091,0,0,0,0
"14",0.203389831,0.016949153,0,0,0.016949153,0,0,0.101694915,0,0,0.033898305,0,0.644067797,0,0.050847458,0,0,0.762711864,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0.016949153,0,0.101694915,1.033898305,0.915254237,0,0.06779661,0,0,0,0,0.288135593,0.033898305,0,0,0,0,0,0,0,0,0.152542373,0.033898305,0,0.016949153,0.050847458,0,0,0,0.050847458,0.152542373
"18",0,0,0.546666667,0,0,0.306666667,0,0.506666667,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0.866666667,0.377777778,1.013333333,0.013333333,0,0,0,0,0.013333333,0,0.004444444,0,0,0,0,0,0.448888889,0,0.986666667,0,0,0,0.008888889,0,0,0,0.453333333,0
"19",0,0,0,0,0,0,0,0.582278481,0,0,0,0,0,0,0,0,0,0.974683544,0,0,0,0,0,0,0,0,0,0,0,0,0.075949367,0.367088608,0,0,0,0,0,0,0,0,0,0.35443038,0,0,0,0.227848101,0,0,0,0.101265823,0,0,0,0,0,0,1.101265823,1,0.012658228,0,0,0,0,0,1.101265823,0.367088608,0,0,0,0.367088608,0,0,0,0.063291139,0.012658228,0.075949367,0,0.012658228,0.063291139,0,0,0,0,0
"21",0.5,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.1,0.85,0.025,0,0,0,0,0,0,0,0.05,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1.05,1,0,0,0.45,0,0,0,1.075,0,0,0,0,0,0,0,0,0,0.05,0.025,0,0,0.25,0,0.45,0,0,0.05
"22",0.033333333,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0.466666667,0,0,0,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666667,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.366666667,0.766666667,0,0,0,0,0,0,0.966666667,0,0,0,0,0,0,0,0,0,0.933333333,0,0,0.033333333,0,0,0,0,0,0
"23",0.659498208,0,0,0,0,0,0,0,0.003584229,0.025089606,0.014336918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562724014,0,0,0,0,0.003584229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795698925,0,0,0,0,0,0,0,0,0.003584229,0,0,1.322580645,0,0.978494624,0,0,0,0.007168459,0.003584229,0,0,0,0,0,0.010752688,0.541218638,0.035842294,0.014336918,0,0.003584229,0,0.003584229,0.050179211
