"","AAA_21","AbiEi_WP_146016717.1","AbiEii_WP_007349585.1","AbiEii_WP_085578968.1","C2c1","CARF7..CARF_DUF2103_MK_CARF_00100843","COG4951","Cas12b","Cas14u","Cas1g_WP_005511840.1","Cas2b_WP_028460064.1","Cas2g_WP_109723797.1","Cas4d_WP_049772653.1","Cyclase_00035","DpdF_00002","Effector_00069","JetA1_00023","JetB1_00011","JetC3_00004","KwaB_00001","MTase_II_00008","MTase_II_00139","MzaA_00001","PtuB1_00026","SduA_00029","SspH_00004","TRIP13_00002","ThsB1_00004","Type_V_Cas12b","cas_Csh2","cd09725","icity0002","pfam09702","retron_type_VI_hth_cluster2_1","retron_type_V_csd_cluster85_1","shah_acc_0057","shah_acc_0227"
"2",0.132075472,0,0,0,0.698113208,0,0,0.320754717,0.037735849,1,0.037735849,0.981132075,0,0,0,0,0,0,0,0,0,0,0,0,0.037735849,0,0.018867925,0,0.037735849,0,0,0,0,0.037735849,0,0,0
"6",0.104972376,0,0,0,0.005524862,0,0.005524862,0,0.005524862,1.005524862,0,0.994475138,0,0,0,0.022099448,0,0,0.027624309,0,0,0,0.044198895,0,0.038674033,0,0.016574586,0,1.044198895,0,0,0,0,0.038674033,0,0.016574586,0.049723757
"8",0.245901639,0,0,0,0.06557377,0,0,0,0,1,0,0.967213115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.016393443,0,0,0
"9",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.318181818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17",0.323529412,0,0,0,0.014705882,0,0,0,0,1.007352941,0,0.904411765,0,0,0,0,0,0,0,0,0,0,0,0,0.139705882,0,0,0,1.036764706,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,1,0,0,0.625,0,1,0,0,0.625,0,0,0,0.625,0,0,0,0,0.625,0,0,0,0,0,0,0.625,0.625,0,0,0,0
"24",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.428571429,0,1,1,0,0,0,0,0.857142857,0,0,0
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667,0,0,0.833333333,0,0,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.833333333
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833333333,0,0,0,0,0.166666667,0,0,0
"36",0,0.333333333,0.333333333,0,0,1,0.833333333,0,0.333333333,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,0,0,0,1,0.666666667,0.833333333,0,0,0,0.333333333,0.666666667,0.666666667
