"","X3D","X6PGD","AAA_21","AA_kinase","AA_permease","ABG_transport","ACR_tran","AI.2E_transport","ATPase_gene1","AbiU","Acc5b_avian_CoV","Acetyltransf_4","Acetyltransf_8","Acyl.ACP_TE","Aldedh","Aldo_ket_red","Aldolase","Aldose_epim","Alkyl_sulf_dimr","Amidohydro_3","Aminotran_1_2","Aminotran_3","Arabinose_Isome","ArsR","Asp_aminotransf","Autoind_synth","Autotransporter","BNR_4","BPD_transp_1","BioY","Bmp","Bro.N","BrxHI_00004","BrxP_00001","CARF3..CARF_MK_CARF_00012921","CARF3..CARF_MK_CARF_00100186","CARF3..CARF_MK_CARF_01001287","CARF3..CARF_MK_CARF_01001354","CARF3..CARF_TM_CARF3..CARF_TM","CARF_m8..CARF_LolE_TM_CARF_m8..CARF_LolE_TM","COG0640","COG1353","COG2378","Cas1fv_WP_091991229.1","CheB_methylest","CheR","CheW","ChuX_HutX","ClpS","Condensation","Csn2_WP_154580455.1","Cupin_2","DHOR","DJ.1_PfpI","DSBA","DUF1240","DUF1270","DUF1327","DUF1493","DUF1494","DUF1836","DUF1861","DUF1871","DUF202","DUF2092","DUF2231","DUF2271","DUF229","DUF2774","DUF2855","DUF2867","DUF3144","DUF3192","DUF3419","DUF3450","DUF3466","DUF4123","DUF4198","DUF4405","DUF4442","DUF4762","DUF481","DUF4812","DUF4916","DUF5107","DUF535","DUF5402","DUF5657","DUF6160","DUF6162","DUF6344","DUF6750","DUF746","DcaP","DcrB","DmsC","DnaJ_C","DndA_00001","DpdE_00001","DpdF_00011","DprA","DrmMII_00009","DruC1_00001","DruG2_00002","DsbB","Dus","E2_00019","EAL","Effector_00040","EptA_B_N","ExbD","FAA_hydrolase","FAD_binding_6","FAD_binding_9","FA_desaturase","FGGY_N","FMN_red","FYDLN_acid","Fae","Fe.S_biosyn","FecCD","Fer2","Fer2_BFD","Fip1","Flg_bbr_C","FlhC","FlhD","Folate_carrier","GATase_2","GIDA","GSDH","GST_C_4","GajA_00011","GajA_00034","GajB_00042","Gin","Glu_cys_ligase","Glyco_hydro_18","Glyco_hydro_88","HAD_2","HEM4","HHH_9","HSP70","HTH_18","HTH_52","HTS","HigB.like_toxin","HisG","His_biosynth","Histidinol_dh","HlyD_2","IGPD","IetA_00002","Iron_traffic","Isochorismatase","JetC1_00013","JetC2_00003","Lactamase_B","LapA_dom","Leu_Phe_trans","Lip_A_acyltrans","Lipoprotein_8","LmuB2_00002","Lyase_1","LysR_substrate","Lys_export","MCPsignal","MIP","MS_channel","MTase_III_00005","MafB","MbtH","Mntp","Molybdopterin","MotA_N","Mpo1.like","MqsR_toxin","MtrB_PioB","Mur_ligase_M","NAD_kinase_C","NFACT.C","NatA_aux_su","Ndr","NifU_N","NmrA","OEP","OMP_b.brl_3","OTCace","OprD","Orn_DAP_Arg_deC","PAAR_motif","PGM_PMM_I","PIN_2","PPK2","PRA.CH","PTS_IIA","Pan_kinase","ParA","Pas_Saposin","PbeC_00032","Pec_lyase","PepSY_TM","Peptidase_A24","Peptidase_M20","Peptidase_M44","Peripla_BP_1","PfkB","PglX_00001","Phage_GPD","Phage_T4_gp19","Phage_integrase","Phageshock_PspG","Phenol_MetA_deg","PhoQ_Sensor","PhzC.PhzF","PilX_N","Pirin","Polyketide_cyc2","Porin_OmpG","Porphobil_deam","Prismane","PseudoU_synth_2","Pyc_2TM","Pyr_redox_2","Pyrid_oxidase_2","RBD.FIP","RDD","RES","REase_III_00002","REase_II_00040","RR_TM4.6","Rad50_zn_hook","RecX","RelA_SpoT","RepB.RCR_reg","Ribosomal_S15","RmlD_sub_bind","RtcR..CARF_AAA_HTH_MK_CARF_00010755","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","SAVED7..SAVED_TM_SAVED7..SAVED_TM","SBP_bac_1","SBP_bac_3","SBP_bac_5","SDF","SDH_sah","SHMT","SLC35F","SSB","SSF","SUFBD","SduA_00029","Semialdhyde_dhC","Sigma70_ECF","SmpB","SoPB_HTH","Specificity_I_00061","SpoU_methylase","SspA_00001","SspH_00004","Sugar_tr","Sulfate_transp","T2SSG","T2SSI","T2SSL","T2SSM","T6SS_HCP","TMP.TENI","TPP_enzyme_N","TRIP13_00002","TcfC","TetR_C_3","Thioesterase","Thioredoxin","Thioredoxin_5","TonB_C","Topoisom_I_N","Toxin_31","Transgly","Trehalase","Trypsin","UDPGP","UPF0047","UPF0102","UPF0176_N","UPF0257","Ub.RnfH","Virulence_RhuM","Xre_MbcA_ParS_C","Y1_Tnp","YgjP.like","YibE_F","Yip1","YitT_membrane","YjdM","YmdB","ZnuA","ZorA1_00006","ZorA1_00007","ZorA2_00001","ZorB3_00001","beta2","cas1_YPEST","cas3_yersinia","cas_Csd2","cas_Csy1","cas_Csy2","cas_Csy3","cas_Csy4","cas_HTH","cd09674","cd09735","cd09736","cd09739","cluster10","dCTPase","divDNAB","drt.cluster103","drt.cluster114","drt.cluster433","drt.cluster972","drt.cluster999","eIF.1a","icity0088","icity0107","p450","pfam09611","pfam09614","pfam09615","pfam09618","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_V_csd_cluster85_1","shah_acc_0033","shah_acc_0186","subtilase","tRNA.synt_1b","tRNA.synt_1g","tRNA.synt_2b"
"1",0.413875598,0,0.028708134,0,0.014354067,0,0.007177033,0,0,0,0,0,0,0.009569378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009569378,0.5215311,0,0,0,0,0.009569378,0,0,0,0,0,0,0,0,1.088516746,0,0,0,0,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019138756,0,0,0,0,0,0.535885167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59569378,0.610047847,0,0,0,0,0,0,0,0,0,0.009569378,0,0,0,0,0,0.011961722,0,0,0,0.007177033,0,0,0,0,0,0,0,0.490430622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007177033,0,0.543062201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004784689,0.004784689,0,0,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0.004784689,0,0,0.516746411,0,0,0,0,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011961722,0,0,0,0,0,0,0,0,0,0,0,0.578947368,0,0,0.007177033,0.619617225,0.002392344,0,0,0.004784689,0,0,0.507177033,0,0.007177033,0,0,0,0.514354067,0,0,0,0,0,0.004784689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007177033,0,0.009569378,0,0,0,0,0,0.373205742,0,0.605263158,0,0,0,0.320574163,0,0.033492823,0,0.009569378,0.507177033,0,0,0,0.002392344,0,0.004784689,0.009569378,0,0,0,0.966507177,0,0,0,0,0,0.528708134,0,0,0,0,0,0,0,0,0,0,0,0.078947368,0,0,0.150717703,0,1.004784689,1.002392344,0.992822967,0.95215311,0,0,0,0.562200957,0,0.5,0,0
"5",0,0,0.495524297,0,0,0,0,0,0,0,0.65601023,0,0.423273657,0,0,0,0,0,0,0,0,0.505754476,0,0,0,0,0,0,0,0,0,0.913043478,0,0,0.001278772,0.494245524,0,0,0,0,0,0,0.016624041,0,0,0,0,0,0,1.064578005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50511509,0,0,0.002557545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492327366,0,0,0.002557545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001918159,0,0.036445013,0,0,0,0,0.489769821,0,0.482736573,0,0,0,0,0,0,0,0.50511509,0,0,0,0.007033248,0,0,0,0,0,0,0.600383632,0,0,0,0,0,0,0,0,0.096547315,0,0.001278772,0,0.677749361,0,0,0,0,0,0,0,0,0,0.010230179,0,0,0.017902813,0,0,0,0.501918159,0,0,0,0,0,0,0,0,0,0,0.336317136,0,0,0,0.000639386,0,0.530051151,0,0,0,0,0.787723785,0,0,0,0,0,0,0,0.47314578,0,0,0,0,0,0,0,0,0.001918159,0,0.518542199,0,0.019181586,0,0.480818414,0,0,0,0,0.000639386,0,0,0,0.578644501,0,0,0,0,0,0.401534527,0,0,0,0,0,0,0.01342711,0,0,0,0,0,0.000639386,0.001278772,0,0,0,0,0,0,0.831841432,0,0,0,0,0,0,0.000639386,0,0,0,0,0,0,0,0,0,0,0,1.008951407,0,0,0,0,0,0,0.460997442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996163683,0,0,0,0,0,0.988491049,1.004475703,0,0,0.001278772,0,0,0,0,0.999360614,0.002557545,0.99168798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998081841,0.998721228,0.000639386,0,0,0.009590793,0.001278772,0,0,0,0
"7",0.01744186,0,0.215116279,0,0,0,0,0,0,0,0,0,0,0,0.069767442,0,0,0,0,0.01744186,0.01744186,0,0,0.034883721,0.034883721,0,0,0,0.186046512,0.011627907,0,0,0.011627907,0.063953488,0,0,0.011627907,0,0,0.01744186,0,0,0.01744186,0,0,0,0,0,0,0.023255814,0,0,0,0.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034883721,0.215116279,0,0,0,0,0,0,0.029069767,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01744186,0,0,0,0,0.162790698,0,0,0,0,0.075581395,0,0,0,0,0,0,0,0,0.01744186,0,0,0,0,0,0.029069767,0,0,0,0.052325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401162791,0,0,0,0,0,0.226744186,0,0.005813953,0,0,0,0,0,0.034883721,0,0,0.011627907,0.360465116,0,0,0,0,0,0,0.011627907,0,0.011627907,0,0.011627907,0,0,0,0,0,0,0.040697674,0,0.011627907,0,0.011627907,0,0,0.075581395,0.040697674,0,0,0.029069767,0,0,0,0,0,0,0,0,0,0.215116279,0,0.011627907,0.011627907,0,0.005813953,0,0.052325581,0,0,0,0,0,0.005813953,0,0,0,0,0.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01744186,0.13372093,0,0,0,0.162790698,0,0,0,0.011627907,0,0,0,0.372093023,0,0.029069767,0,0,0.040697674,0,0,0,0,0,0,0,0.040697674,0,0,0,0,0,0,0,0,0,0,0,0.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831395349,1,0,0,0,0,0,0,0,0.01744186,0,0.947674419,0,0,0,0,0,0,0.203488372,0,0,0,0,0,0.994186047,0.988372093,1,0.040697674,0.029069767,0,0.011627907,0.023255814,0,0.011627907,0,0
"8",0,0,0.155555556,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0.155555556,0.133333333,0,0,0,0.044444444,0.022222222,0.044444444,0.111111111,0,0,0,0.044444444,0,0.088888889,0.866666667,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088888889,0,0,0,0,0.022222222,0,0,0,0,0,0,0.022222222,0,0.088888889,0,0,0,0,0,0,0,0.155555556,0,0,0,0,0.088888889,0,0,0.022222222,0,0,0,0,0,0,0.088888889,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0.177777778,0,0,0,0,0,0.177777778,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0.066666667,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0.088888889,0.355555556,0,0.022222222,0,0,0,0,0.044444444,0,0,0,0.244444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0.022222222,0,0,0,0,0,0,0,0,0,0.933333333,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0.066666667,0,0.955555556,0.977777778,0.955555556,0.955555556,0,0,0.044444444,0.066666667,0,0,0,0.311111111
"9",0,0,0.192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0.315789474,0,0.087719298,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0.01754386,0.701754386,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0.245614035,0,0,0,0,0,0,0,0,0,0,0,0,0.263157895,0,0,0,0,0,0,0.035087719,0,0,0.070175439,0,0,0.01754386,0,0.052631579,0,0,0.035087719,0.070175439,0,0,0,0,0,0,0,0,0.052631579,0,0,0.01754386,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.035087719,0,0,0,0.01754386,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0.035087719,0,0,0,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0.01754386,0.263157895,0,0,0,0,0.01754386,0,0,0,0.01754386,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0.01754386,0.035087719,0,0,0,0,0.035087719,0.035087719,0,0,0,0,0,0,0,0.122807018,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0.035087719,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789473684,0,0,0,0,0,0.01754386,0,0,0,0.01754386,0,0,0,0,0,0,0.01754386,0,0,0,0,0,1.01754386,1.01754386,0.98245614,0.98245614,0.070175439,0,0,0,0,0,0,0
"11",0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0.019230769,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0.019230769,0.019230769,0,0,0,0,0,0,0.019230769,0.096153846,0,0.403846154,0.326923077,0,0.057692308,0.096153846,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0.038461538,0,0,0,0,0.038461538,0,0,0,0,0,0,0.019230769,0.019230769,0.019230769,0,0,0,0,0,0,0,0.038461538,0,0,0.019230769,0,0,0,0.019230769,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057692308,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0.057692308,0,0,0.038461538,0,0.038461538,0.057692308,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0.038461538,0,0,0,0,0.346153846,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0.019230769,0,0,0,0,0,0.134615385,0,0.038461538,0.019230769,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.057692308,0,0,0,0,0,0,0.057692308,0.076923077,0.019230769,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0.596153846,0.980769231,0,0.038461538,0.788461538,0,0,0,0,0.769230769,0,0.673076923,0,0,0,0,0.115384615,0,0.326923077,0,0,0,0,0,0.173076923,0.211538462,1,0.326923077,0,0,0,0,0,0,0,0
"15",0,0,0.300847458,0.012711864,0.122881356,0,0.008474576,0,0,0,0,0.021186441,0,0.038135593,0.033898305,0,0,0,0,0,0.016949153,0,0,0.152542373,0.012711864,0,0,0,0.033898305,0.021186441,0.012711864,0,0.012711864,0.012711864,0,0,0.021186441,0.016949153,0,0,0,0,0.156779661,0,0,0,0.008474576,0,0,0,0,0,0,0.016949153,0,0.008474576,0,0,0.008474576,0.016949153,0,0,0,0,0,0,0,0,0.012711864,0.050847458,0,0,0,0,0,0,0.008474576,0,0,0,0,0.012711864,0,0,0,0,0,0,0,0,0,0,0.080508475,0,0.012711864,0,0,0,0,0,0,0,0,0.008474576,0,0,0,0.042372881,0,0,0,0,0,0,0,0,0.012711864,0,0,0,0.016949153,0,0,0,0,0,0,0,0.012711864,0,0,0.012711864,0,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0,0.033898305,0,0,0,0,0,0.016949153,0,0,0,0.008474576,0,0,0,0,0,0,0.012711864,0.059322034,0,0,0.016949153,0.021186441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012711864,0.029661017,0,0,0,0,0,0,0.008474576,0,0.008474576,0,0,0,0,0,0,0,0,0.012711864,0,0,0,0,0.016949153,0,0.021186441,0,0,0,0,0,0,0,0,0,0,0.012711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0,0,0,0.012711864,0.012711864,0,0,0,0,0.025423729,0,0.025423729,0,0.059322034,0,0.012711864,0,0,0,0,0,0,0,0.012711864,0,0,0,0,0.016949153,0,0,0,0,0,0,0.021186441,0,0,0,0,0.110169492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0.919491525,0.991525424,0,0.06779661,0.449152542,0,0,0,0,0.694915254,0,0.970338983,0.012711864,0,0,0,0,0,0.038135593,0.016949153,0,0,0,0,0.241525424,0.555084746,1,0.038135593,0.016949153,0,0,0.177966102,0,0,0,0.008474576
"17",0,0,0.029520295,0.007380074,0,0,0.092250923,0,0,0,0,0.162361624,0,0.011070111,0.081180812,0.062730627,0,0,0,0.018450185,0,0.033210332,0,0.029520295,0,0,0,0,0.022140221,0,0,0,0,0.051660517,0.066420664,0,0.011070111,0,0,0.007380074,0.022140221,0,0.025830258,0,0,0,0,0,0,0,0,0,0,0.110701107,0.007380074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147601476,0,0,0.007380074,0,0,0,0,0,0,0,0,0.007380074,0,0,0,0,0,0,0,0,0,0,0.007380074,0,0,0.007380074,0,0,0,0,0,0,0,0,0,0.011070111,0,0.033210332,0,0,0.014760148,0.007380074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007380074,0,0,0.011070111,0.025830258,0,0,0,0,0,0,0,0.014760148,0,0,0,0,0,0,0,0,0,0,0.040590406,0,0.033210332,0,0.022140221,0,0,0,0,0,0,0,0,0,0.073800738,0,0,0,0,0,0,0,0.007380074,0.007380074,0,0,0,0.044280443,0.007380074,0,0,0,0.173431734,0,0,0,0.022140221,0,0,0,0,0,0.15498155,0,0,0,0,0,0,0,0,0.018450185,0,0.036900369,0,0,0,0,0,0,0.143911439,0,0.066420664,0,0,0,0.007380074,0,0,0.007380074,0,0.103321033,0,0,0,0,0.022140221,0,0.007380074,0,0,0,0,0,0,0,0,0,0.014760148,0,0,0.011070111,0,0,0,0,0.022140221,0,0.011070111,0,0.044280443,0.007380074,0.007380074,0,0,0,0.029520295,0.114391144,0,0.018450185,0,0,0,0,0,0,0,0,0.007380074,0,0,0,0,0,0.014760148,0,0,0,0,0,0,0,0,0,0.011070111,0,0,0.011070111,0,0,0,0,0,0,0.029520295,0,0,0,0,0,0,0.804428044,0.95202952,0,0.033210332,0.033210332,0.033210332,0,0.114391144,0.033210332,0.007380074,0,0.763837638,0,0,0,0,0,0,0.011070111,0,0,0,0,0,0.959409594,0.966789668,0.966789668,0.199261993,0.007380074,0,0,0.05904059,0,0,0,0
"20",0,0,0.116483516,0.013186813,0,0,0.030769231,0,0,0,0,0.050549451,0,0,0.03956044,0,0,0,0,0.015384615,0.028571429,0.010989011,0,0.030769231,0,0,0,0,0.015384615,0,0,0,0,0.072527473,0,0.015384615,0.046153846,0,0,0.037362637,0,0,0.208791209,0.861538462,0,0,0.010989011,0,0,0.008791209,0,0,0.013186813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0.01978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0.017582418,0,0,0,0,0.050549451,0,0,0.032967033,0,0,0,0,0.008791209,0,0,0,0,0,0.07032967,0.035164835,0,0,0.008791209,0,0,0,0,0.010989011,0.010989011,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0,0.013186813,0,0,0,0,0.03956044,0,0.008791209,0,0.015384615,0,0,0,0,0,0.017582418,0,0,0.008791209,0.046153846,0,0,0,0,0,0,0.008791209,0.010989011,0,0,0,0,0,0,0,0,0,0.037362637,0,0,0.026373626,0.024175824,0,0,0.015384615,0,0.013186813,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059340659,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0.050549451,0,0,0,0.013186813,0,0,0,0,0.013186813,0,0,0,0,0,0.008791209,0,0,0.061538462,0,0.015384615,0,0,0,0.010989011,0.01978022,0,0.052747253,0,0,0,0,0,0,0,0,0,0,0,0,0.013186813,0,0.008791209,0,0,0,0,0,0,0,0,0,0,0.068131868,0,0.017582418,0.048351648,0,0,0,0,0,0,0,0,0,0.013186813,0,0.008791209,0,0.936263736,0,0,0,0,0,0,0.054945055,0.261538462,0,0.250549451,0.054945055,0.015384615,0.008791209,0,0,0,0.008791209,0,0,0,0,0,0.749450549,1,1.004395604,0.692307692,0.054945055,0,0,0.043956044,0,0,0,0.008791209
"21",0,0,0.56,0,0,0,0,0,0,0,0,0.52,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.16,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.28,0,0,0,0,0,0,0.76,0,0,0.56,0,0,0,0.52,0,0,0,0,0,0,0,0.56,0,0,0.36,0,0,0,0,0,0,0,0,0,0.28,0.44,0,0,0,0,0,0.36,0.96,0,0,0,0,0,0.52,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.52,0,0.36,0,0,0,0,0,0.36,0,0,0,0,0.96,0,0,0,0.48,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0.76,0,0,0,0,0,0.92,0,0,0,0.04,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.96,0,0,0.36,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.76,0,1.12,0,0,0.96,0,0,1,1,0.32,0,0,0,0,0,0,0.96,0,0.88,0,0,0,0,0,0.68,0,0.84,0,0,0.48,0,0.08,1,1.04,0.12,0,0.04,0,0,0,0,0,0
