"","X2.Hacid_dh","X60KD_IMP","A.2_8.polyST","AAA_21","ABC1","ABC_membrane","ACP_PD","ASMase_C","ATP.synt_D","AXE1","Acid_PPase","Aconitase","Aconitase_C","Adeno_IVa2","AdoMet_Synthase","Aga_SIR2","Ala_racemase_N","Amidase","Amidase_2","ApbE","ArsC","ArsP_1","Autotransporter","BOFC_N","BPD_transp_1","BPD_transp_2","Bac_export_3","Bap31","Biotin_lipoyl","BrxC_00003","CARF3..CARF_MK_CARF_01001976","CARF3..CARF_TM_CARF3..CARF_TM","CARF4..CARF_PDDEXK_MK_CARF_00010378","CARF8..CARF_TM_MK_CARF_00012989","CLP_protease","CNNM","CPSase_L_D2","CagX","Caps_synth","Cas1_II_WP_078484493.1","Cas2_II_WP_167337171.1","Cas3e_WP_189128522.1","Chorismate_bind","Coatomer_E","Cob_adeno_trans","Competence","Csn2_WP_012290143.1","DHH","DNA_circ_N","DUF1175","DUF1403","DUF1494","DUF1576","DUF1749","DUF1963","DUF2001","DUF2112","DUF218","DUF2262","DUF2577","DUF2634","DUF2663","DUF2673","DUF2716","DUF2815","DUF3091","DUF3113","DUF3126","DUF3185","DUF3383","DUF354","DUF3577","DUF3768","DUF3786","DUF3993","DUF4132","DUF4656","DUF4839","DUF4938","DUF5016","DUF5048","DUF5096","DUF5669","DUF6002","DUF6148","DUF6176","DUF6314","DUF6366","DUF6395","DUF6442","DUF6488","DUF899","DUF937","DUF975","DciA","DeoRC","DnaJ_C","DndA_00001","DoxA","DoxD","DpdF_00011","DrmC_00003","DrmC_00030","DrsE","DruK_00002","E1E2_00011","E1E2_00023","E2_00014","EVC2_like","Effector_00002","Effector_00040","Effector_00056","Effector_00097","Enolase_C","EntA_Immun","Exo_endo_phos_3","FTSW_RODA_SPOVE","FadA","FeoB_N","Flavokinase","Formyl_trans_N","G6PD_bact","GATase_2","GATase_4","GIDA_C","GajB_00012","Glu.tRNAGln","Glyco_tranf_2_3","Glyco_transf_52","Glyco_transf_56","Glyco_transf_9","Glycos_transf_3","Glycos_transf_4","GnsAB_toxin","HDPD","HEase_00006","HK97.gp10_like","HNH_repeat","HNHc_6","HTH_17","HTH_Tnp_1_2","HemY_N","HicA_toxin","HicB_lk_antitox","HlyD_2","HlyD_D23","HpaB_N","IGPS","Iso_dh","JetC1_00003","JetC1_00017","JetC2_00003","KH_4","KPP10_Orf10","LGT","LOR","LPAM_1","LepA_C","META","MFS_3","MORN_2","Macoilin","Metallophos_3","Methyltransf_4","Mfp.3","MliC","Mntp","MobL","MreB_Mbl","MscL","MtN3_slv","MurB_C","MurJ","Mur_ligase_M","NLPC_P60","NQR2_RnfD_RnfE","NUDIX_2","NatA_aux_su","NeuB","Nitr_red_alph_N","Nuc_H_symport","O.antigen_lig","OEP","OTCace_N","Oxidoreduct_C","P22_Cro","PGM_PMM_I","PPR_long","PRAI","Pam16","PbeA_00005","PelG","Pep_deformylase","Pept_tRNA_hydro","Peptidase_M50","Phage_cap_E","Phage_capsid","Phage_connect_1","Phage_integrase","Phage_portal","Phage_prot_Gp6","Phage_sheath_1C","PhzC.PhzF","Polysacc_deac_1","Pox_D2","PseudoU_synth_2","PtuA1_00010","PtuA1_00014","PtuA1_00039","Put_Phosphatase","Pyc_TIR","PyrI","QueC_00001","QueH","REase_II_00171","REase_II_00173","RIO1","RPN1_C","Radical_SAM","Rep_1","Ribonuclease_P","Ribosomal_L19","Ribosomal_L34","Ribosomal_S18","Ribosomal_S6","RsgI_N","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","S4_2","SBP_bac_5","SBP_bac_8","SDH_sah","SLAC1","SLC35F","SMC_ScpA","SMC_ScpB","SSB","Sda","SduA_00006","SecG","SepF","Smr","SspH_00004","Sugar_tr","T4SS.DNA_transf","TAD2","THF_DHG_CYH","TIM","TMEM238","TMEMspv1.c74.12","TPR_15","TerL_nuclease","Terminase_3","TetR_C_13","Thioredoxin","ThsA1_00007","ThsB1_00017","TniQ_1_I.F","Tom37","TraC","TrbI","TrbL","Trp_syntA","Tubulin","UBA_6","UPF0257","UPF0542","VAPB_antitox","VRR_NUC","VirB8","Voltage_CLC","Y2_Tnp","YidD","YmdB","YqfD","ZorA2_00006","ZorC1_00011","cas4","cas_TM1810_Csm2","cd06127","cd09726","drt.AbiA_large","drt.UG33","drt.cluster58","drt.cluster999","ivWA","mREase_IV_00004","mkCas0117","pPIWI_RE_REase","padloc_Cas13a","retron_type_III_A5_prtase_various_cluster","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_VI_hth_cluster2_1","shah_acc_0181"
"32",0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797101449275362,0,0,0,0,0,0,0,0,0,0.442028985507246,0.0652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797101449275362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0.0144927536231884,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0.405797101449275,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123188405797101,0,0.036231884057971,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115942028985507,0,0,0,0,0,0,0,0,0.326086956521739,0,0,0,0.0507246376811594,0,0,0.0507246376811594,0,0,0,0,0,0,0,0,0,0,0,0.0289855072463768,0.0652173913043478,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0.0652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471014492753623,0
"3",0,0,0,0.153846153846154,0,0,0,0,0,0.41025641025641,0,1.02564102564103,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0.461538461538462,0,0,0,0.487179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564102564103,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0.461538461538462,0,0.333333333333333,0.0256410256410256,0.0256410256410256,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641025641025641,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0.179487179487179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0,0,0,0,0.428571428571429,0.333333333333333,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.214285714285714,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0.403508771929825,0,0,0,0.324561403508772,0.350877192982456,0,0,0,0,0.412280701754386,0,0,0,0,0,0.412280701754386,0,0,0,0,0,0,0,0,0.307017543859649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0.482456140350877,0,0,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543859649122807,0,0,0.236842105263158,0,0,0.403508771929825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350877192982456,0,0,0,0,0,0,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350877192982456,0,0,0,0,0,0,0,0.429824561403509,0.087719298245614,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149122807017544,0
"87",0,0,0.305882352941176,0,0,0.917647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.623529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588,0,0,1.45882352941176,0.411764705882353,0.435294117647059,1.18823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329411764705882,0,0,0,0,0,0,0,0,0,0,0,0.835294117647059,0,0,0,0,0,0.376470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151515151515152,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484848484848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727,0,0,0,0,0,0,0,0,0.151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96969696969697,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303030303030303,1.06060606060606,1.37878787878788,0,0.333333333333333,0,0,0,0,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0
"84",0,0,0,0.0652173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923913043478261,0,0,0,0,0,0,0,1.55434782608696,0.543478260869565,0,0,0,0,0,0,0.576086956521739,0,0,0,0,0,0.543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304347826086957,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0,0.923913043478261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554347826086957,0.597826086956522,0,0,0,0,0,0,0,0.445652173913043,0,0,0.576086956521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619565217391304,0,0,0,0,0,0,0,0,0,0,0.641304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565217391,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690909090909091,0,0,0,0,0.0545454545454545,0.6,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763636363636364,0,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218181818181818,0,0,0,0,0,0,0.109090909090909,0,0,0,0.0545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0.381818181818182,1,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0.418181818181818,0,0,0,0,0,0,0,0,0.472727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0
