"","AAA_21","ABC2_membrane_2","AMP.binding","ANT","ANTAR","AbiEi_WP_050726758.1","AbiEii_WP_069691453.1","Acetyltransf_4","Acid_PPase","Acyl.ACP_TE","Ada_Zn_binding","AdoMet_dc","Amidase_3","Amidase_6","AnkUBD","Arginase","BBS1","BING4CT","BMFP","BPD_transp_1","BPD_transp_2","Bac_DNA_binding","Baculo_p48","Baseplate","Big_2","BrxP_00001","C6_DPF","CARF3..CARF_MK_CARF_00000116","CARF3..CARF_MK_CARF_00100249","CARF3..CARF_TM_CARF3..CARF_TM","CARF4..CARF_PDDEXK_CARF_MK_CARF_01000893","CARF4..CARF_PDDEXK_MK_CARF_00101136","CART","CENP.F_C_Rb_bdg","CFIA_Pcf11","CKS","COG0640","COX8","CRC_subunit","CarD_CdnL_TRCF","Cas13d","Cas14a","Cas5b_WP_000371344.1","Cas6a_Cas6a","Cas6b_WP_069593058.1","Cas7_IIId_WP_060827137.1","CcdB","CdiA_C","Choline_bind_1","Chordopox_A13L","Clavanin","CoV_E","Comm","Corona_NS12.7","CpXC","Cpn60_TCP1","CpsB_CapC","Cry1Ac_D5","CusB_dom_1","Cyclase_00049","Cys_rich_CPXG","Cys_rich_KTR","Cytomega_US3","DCD","DNA_gyraseA_C","DNA_gyraseB","DNA_pol3_alpha","DNA_pol3_beta_3","DNA_pol_phi","DNA_topoisoIV","DUF1015","DUF1064","DUF1155","DUF1356","DUF1424","DUF1477","DUF1670","DUF1749","DUF1902","DUF1936","DUF1963","DUF2175","DUF2188","DUF2344","DUF2452","DUF2614","DUF2624","DUF2774","DUF2777","DUF2992","DUF3199","DUF3533","DUF35_N","DUF365","DUF3658","DUF3683","DUF3799","DUF3848","DUF3852","DUF3864","DUF3870","DUF3890","DUF3970","DUF4059","DUF4090","DUF4160","DUF4231","DUF4236","DUF4314","DUF4709","DUF4744","DUF4771","DUF4834","DUF4969","DUF4972","DUF5055","DUF5129","DUF5319","DUF5381","DUF5406","DUF5414","DUF5474","DUF555","DUF5592","DUF5766","DUF5835","DUF5992","DUF6045","DUF6102","DUF6169","DUF6198","DUF6291","DUF6441","DUF6517","DUF6550","DUF6579","DUF6583","DUF6694","DUF6710","DUF6711","DUF768","DUF806","DUF892","DUF922","DUF935","DndH_00006","DpdF_00011","DpnD.PcfM","DrmC_00028","DruC1_00001","DsbC_N","E1.E2_ATPase","E1E2_00009","E1E2_00015","E2_00015","EPV_E5","Effector_00038","Effector_00060","Effector_00063","F_bP_aldolase","FdsD","Fe.ADH","FeoA","Fer4_NifH","FlgN","GCR1_C","GIDA_C","GP67","GSKIP_dom","GTP_EFTU","GlcNAc_2.epim","Gln.synt_C","Glyco_hydro2_C5","Glyco_hydro_16","Glyco_hydro_3","Glyco_hydro_72","Glyco_hydro_77","HARP","HATPase_c_5","HIGH_NTase1_ass","HK","HPTransfase","Hhe_00001","HlyIII","Hol_Tox","Hydrolase_2","Hydrolase_3","IBV_3B","IetA_00002","Imm64","Internalin_N","JAB_00004","Jak1_Phl","JetB1_00028","JetB3_00007","JetC2_00003","JetC2_00005","JetC3_00004","JetD1_00010","KwaA_00003","LBR_tudor","LPD18","LPD25","LRR_5","L_lactis_RepB_C","L_lactis_ph.MCP","Lactamase_B","Lar_restr_allev","LcrG","Lipase_GDSL_3","LisH","LytR_cpsA_psr","LytTR","MCR_alpha_N","MHC_II_beta","MOZART2","MSA.2c","MS_channel","MTase_II_00015","MTase_II_00044","MTase_II_00048","MTase_II_00053","MTase_II_00139","MTase_II_00164","Mannitol_dh_C","MecA","Mesd","Mid2","Minor_capsid_2","MobL","Mob_synth_C","MotCF","NAD_synthase","NMD3","NRDD","NT5C","NTF.like","NTS_2","NadA","Neugrin","Nrap_D3","OAD_beta","OAD_gamma","OST_P2","Orn_DAP_Arg_deC","P.loop_TraG","P3A","PAC3","PAP2_3","PARM","PDDEXK_2","PHA_synth_III_E","PLD_Helicase_00001","PanZ","ParBc","Parathyroid","Pas_Saposin","PbeA_00005","PbeC_00033","PbeC_00048","PcfJ","PelG","Peptidase_M29","Peptidase_M42","Peptidase_M50","Peptidase_S26","Peptidase_S78","Peptidase_S80","Phage_CP76","Phage_H_T_join","Phage_TTP_1","Phage_XkdX","Phage_capsid","Phage_connect_1","Phage_holin_4_1","Phage_holin_5_1","Phage_integr_3","Phage_integrase","Phage_portal","Phage_tail_S","Phosphorylase","Polysacc_deac_3","Pox_F16","PrgI","PrmA","PseudoU_synth_2","PtuA1_00020","PtuA1_00041","PtuA2_00005","QueT","RAMP4","REase_I_00003","RHH_9","RNA_pol_Rpb2_6","RNase_HII","RRP7","Radical_SAM_N","Ragweed_pollen","RecJ_OB","Relaxase","RepA_N","RepB.RCR_reg","Ribonuclease_3","Ribosomal_L19","Ribosomal_L28","Ribul_P_3_epim","RimP_N","Rtf2","RuBisCO_small","Rv2179c.like","SAM_LFY","SDH_sah","SSB","Sacchrp_dh_C","Sds3","SduA_00029","Secretin_N","SinI","Sipho_Gp37","Sld7_N","SpaA","Specificity_I_00010","Specificity_I_00046","SpoVG","SspA_00001","SspD_00001","Sulfatase","T4SS.DNA_transf","T4SS_pilin","T4_baseplate","T7.like_Y65","TANGO2","TSCPD","TTRAP","Ta0938","Tap.RNA_bind","Tcp10_C","TerB_C","TerL_nuclease","Terminase_6C","Thr_synth_N","Thy1","TraB_PrgY_gumN","Transcrip_reg","Trehalose_PPase","TrwB_AAD_bind","UPF0160","UPF0225","UPF0257","VD10_N","VMAP.M9","VP4_2","VPS11_C","VWA_CoxE","VirD1","WG_beta_rep","WIYLD","WYL","YabA","YbjQ_1","YfbR.like","YokU","YolD","YorP","YtpI","YvbH_ext","ZorC1_00001","ZorE2_00004","cd06127","cd09643","cd09677","cls001593","cluster10","drt.UG29","drt.cluster192","drt.cluster302","drt.cluster972","icity0062","icity0087","mREase_IV_00005","mkCas0115","oMTase_00008","oMTase_00015","padloc_Cas13d","peptidase_U41","pfam13280","retron_type_III_A1_wh_cluster742_1","retron_type_III_A2_wh_cluster1121_1","retron_type_VI_hth_cluster2_1","retron_type_VI_sp_cluster3272_1","shah_acc_0057","shah_acc_0124","shah_acc_0181","zf.NADH.PPase"
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681818182,0,0,0.863636364,0,0,0,0.909090909,0,0,0,0,0,0,0.875,0,0,0.647727273,0.886363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0.931818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636364,0,0,0,0,0.863636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647727273,0,0,0,0,0,0,0,0,0.681818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863636364,0,0,0,0,0,0,0,0,0.931818182,0.431818182,0,0,0.681818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647727273,0,0,0,0,0,0.670454545,0,0,0,0,0.647727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0.025236593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388012618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38170347,0,0,0.015772871,0,0,0,0,0,0.009463722,0,0,0.063091483,0,0.078864353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069400631,0,0,0,0,0,0.403785489,0,0,0,0,0,0.025236593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305993691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034700315,0,0,0,0,0,0,0,0.312302839,0,0,0,0,0,0,0,0,0.006309148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009463722,0,0,0,0.025236593,0,0,0,0,0,0,0,0,0,0,0,0.126182965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347003155,0,0,0,0.012618297,0,0,0,0,0,0.072555205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495268139,0,0,0,0,0,0,0,0.476340694,0.466876972,0,0,0,0,0,0,0,0.615141956,0,0.567823344,0,0,0,0,0,0,0,0.602523659,0,0,0.577287066,0,0,0,0,0,0,0,0.09148265,0,0.599369085,0.034700315,0,0,0,0.454258675,0.123028391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003154574,0,0.570977918,0,0,0,0,0,0,0.031545741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675078864,0,0,0,0,0,0.643533123,0,0,0,0,0,0,0,0,0,0,0,0.012618297,0,0.072555205,0,0,0,0.03785489,0
"112",0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73828125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546875,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09765625,0,0,0,0.00390625,0,0,0.00390625,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0.46484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92578125,0,0,0,0,0,0,0.921875,1.1328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0.74609375,0,0,0.98046875,0,0,0,0,0,0.5625,0,0.828125,0,0,0,0,0,0,0.7734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70703125,0,0,0,0,0,0,0,0.41015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56640625,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418918919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036036036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693693694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869369369,0,0,0.45045045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085585586,0.009009009,0.351351351,0,0,0,0,0,0.004504505,0,0.711711712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0.648648649,0,0.009009009,0.797297297,0.878378378,0,0,0.779279279,0.009009009,0,0,0,0.103603604,0.504504505,0,0,0,0,0,0,0.396396396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009009009,0,0,0.40990991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581081081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067567568,0,0,0,0,0,0,0,0,0.022522523,0,0,0,0,0.013513514
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.071428571,0,0,0.047619048,0,0.023809524,0,0,0,0,0.047619048,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452380952,0,0,0,0,0,0,0,0,0.047619048,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0.30952381,0,0.69047619,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0.238095238,0.333333333,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.023809524,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0.428571429,0,0,0,0,0,0,0,0.285714286,0.30952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0.023809524,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452380952,0,0,0,0,0.023809524
"42",0,0,0,0.305343511,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0.099236641,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320610687,0,0,0,0,0,0,0,0.022900763,0,0.003816794,0.370229008,0,0,0,0.007633588,0,0,0,0,0.442748092,0.019083969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0.011450382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309160305,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435114504,0,0,0,0,0,0,0,0,0,0,0,0.152671756,0,0,0,0,0,0,0,0,0,0,0.015267176,0,0,0,0,0,0,0,0,0.080152672,0,0,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015267176,0,0.049618321,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0.003816794,0.167938931,0.145038168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0,0,0,0.461832061,0,0,0,0,0.038167939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354961832,0.003816794,0,0.129770992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0.019083969,0,0,0,0,0,0,0,0,0,0,0,0,0.072519084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011450382,0,0.099236641,0,0,0,0,0.003816794,0,0,0,0.167938931,0.400763359,0,0.438931298,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0.003816794,0,0,0,0.007633588,0.007633588
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954545455,0,0.772727273,0,0,0,0,0,0,0,0,0.909090909,0,0.772727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909,0,0.954545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0,0,0.909090909,0,0,0.954545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772727273,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818,0,0,0,0,0,0,0,0,0,0.772727273,0,0,0,0,0,0,0,0,0,0.863636364,0,0.954545455,0,0,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0,0.772727273,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0,0.863636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772727273,0,0,0,0,0.863636364
"111",0.006872852,0.003436426,0,0.096219931,0,0.487972509,0,0,0,0,0,0,0,0.360824742,0,0,0,0,0,0.006872852,0,0,0,0,0,0.006872852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0,0.195876289,0,0,0,0,0,0,0.06185567,0,0,0,0,0,0,0,0,0,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003436426,0,0,0,0.010309278,0,0,0,0,0.082474227,0,0,0,0,0.130584192,0,0,0,0.013745704,0,0,0,0,0,0,0,0,0.529209622,0,0,0,0,0,0,0,0,0,0,0.419243986,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006872852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006872852,0,0,0.206185567,0,0,0,0,0.010309278,0,0.017182131,0,0,0,0,0,0.003436426,0,0,0,0.305841924,0.23024055,0.261168385,0.333333333,0,0,0,0,0,0,0,0.010309278,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0.003436426,0,0,0,0,0.003436426,0,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182130584,0,0,0,0,0,0,0,0,0.505154639,0.350515464,0.336769759,0,0.498281787,0.378006873,0,0,0.10652921,0.010309278,0,0,0,0.257731959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0.003436426,0.326460481,0,0,0,0,0,0.006872852,0.553264605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347079038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508591065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18556701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006872852,0,0,0,0.278350515,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0.822222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.066666667,0.066666667,0,0,0,0,0.022222222,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511111111,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0.355555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0.066666667,0.022222222,0,0,0,0,0,0,0,0,0,0.044444444,0.2,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0.044444444,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422222222,0,0.022222222,0,0,0.022222222,0,0,0,0,0,0,0,0.244444444,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422222222,0,0,0,0,0,1.022222222,0,0,0,0,0.044444444
"52",0.019157088,0.000957854,0,0,0,0,0,0.029693487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503831418,0.000957854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0,0.376436782,0.019157088,0,0,0,0,0.000957854,0,0,0,0,0.026819923,0,0,0,0,0.326628352,0,0,0,0,0.554597701,0,0,0,0.55651341,0.005747126,0,0,0,0,0,0.012452107,0,0,0,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022030651,0,0,0,0,0,0,0.108237548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000957854,0,0,0,0,0,0,0,0,0,0.001915709,0,0,0,0,0,0,0.010536398,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000957854,0.111111111,0.002873563,0,0,0,0.007662835,0,0,0,0,0,0.201149425,0,0,0,0,0.068007663,0,0,0,0,0,0,0,0,0,0,0.295977011,0,0,0,0,0.002873563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102490421,0,0,0,0,0,0,0,0,0.007662835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0.346743295,0,0,0,0,0.002873563,0,0,0.059386973,0,0,0.043103448,0,0,0,0.132183908,0.148467433,0,0.396551724,0,0.001915709,0,0,0,0,0,0,0,0,0,0,0,0,0.000957854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019157088,0,0,0,0.041187739,0,0,0.271072797,0,0,0.004789272,0,0,0.567049808,0,0,0,0,0,0,0.480842912,0,0,0,0,0,0,0.114942529,0,0.295977011,0,0,0
