cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_5,0,0,1,0,0,0,0,0,1,0
cluster_6,0.25,0,0.75,0.125,0,0,0,0.125,1,0
cluster_10,0,0,1,0,0,0,0,0,1,0
cluster_12,0.096969697,0,0.903030303,0.096969697,0,0,0,0,1,0
cluster_14,0.033898305,0,0.966101695,0.033898305,0,0,0,0,1,0
cluster_18,0.004444444,0,0.995555556,0,0,0,0,0.004444444,1,0
cluster_19,0,0,1,0,0,0,0,0,1,0
cluster_21,0,0,1,0,0,0,0,0,1,0
cluster_22,0.033333333,0,0.966666667,0.033333333,0,0,0,0,1,0
cluster_23,0.003584229,0,0.996415771,0.003584229,0,0,0,0,1,0
cluster_26,0,0,1,0,0,0,0,0,1,0
cluster_27,0,0,1,0,0,0,0,0,1,0
cluster_28,0,0,1,0,0,0,0,0,1,0
cluster_29,0,0,1,0,0,0,0,0,1,0
cluster_30,0,0,1,0,0,0,0,0,1,0
cluster_41,0.014388489,0,0.985611511,0.007194245,0,0,0,0.007194245,1,0
cluster_76,0.007843137,0,0.992156863,0.007843137,0,0,0,0,1,0
cluster_78,0.033898305,0,0.966101695,0.033898305,0,0,0,0,1,0
cluster_82,0,0,1,0,0,0,0,0,1,0
cluster_90,0,0,1,0,0,0,0,0,1,0
cluster_91,0,0,1,0,0,0,0,0,1,0
cluster_92,0,0,1,0,0,0,0,0,1,0
cluster_100,0,0,1,0,0,0,0,0,1,0
cluster_106,0,0,1,0,0,0,0,0,1,0
cluster_111,0.022222222,0,0.977777778,0.022222222,0,0,0,0,1,0
cluster_113,0,0,1,0,0,0,0,0,1,0
cluster_114,0,0,1,0,0,0,0,0,1,0
cluster_117,0.009345794,0,0.990654206,0.009345794,0,0,0,0,1,0
cluster_125,0,0,1,0,0,0,0,0,1,0
cluster_135,0,0,1,0,0,0,0,0,1,0
