cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_3,0.9857142857142858,0.0,0.014285714285714235,0.8142857142857143,0.1,0.0,0.02857142857142857,0.04285714285714286,1.0,0.0
cluster_6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705
cluster_18,0.15,0.0,0.85,0.0,0.0,0.0,0.025,0.125,1.0,0.0
cluster_23,0.8181818181818182,0.0,0.18181818181818177,0.6818181818181818,0.0,0.0,0.0,0.13636363636363635,1.0,0.0
cluster_25,0.2545454545454545,0.0,0.7454545454545455,0.0,0.0,0.0,0.10909090909090909,0.14545454545454545,1.0,0.0
cluster_26,0.3269230769230769,0.0,0.6730769230769231,0.0,0.0,0.0,0.0,0.3269230769230769,1.0,0.0
cluster_28,0.8260869565217391,0.0,0.17391304347826086,0.6086956521739131,0.043478260869565216,0.0,0.0,0.17391304347826086,1.0,0.0
cluster_29,0.06779661016949153,0.0,0.9322033898305084,0.06779661016949153,0.0,0.0,0.0,0.0,0.3898305084745763,0.6101694915254238
cluster_32,0.07462686567164178,0.0,0.9253731343283582,0.0,0.014925373134328358,0.0,0.04477611940298507,0.014925373134328358,1.0,0.0
cluster_45,0.07777777777777778,0.0,0.9222222222222223,0.03333333333333333,0.03333333333333333,0.0,0.0,0.011111111111111112,1.0,0.0
cluster_46,0.017543859649122806,0.0,0.9824561403508771,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,1.0
cluster_47,0.125,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,1.0
cluster_48,0.017543859649122806,0.0,0.9824561403508771,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,1.0
cluster_53,0.1875,0.0,0.8125,0.15625,0.0,0.0,0.0,0.03125,0.9375,0.0625
cluster_75,0.015151515151515152,0.0,0.9848484848484849,0.0,0.0,0.0,0.0,0.015151515151515152,1.0,0.0
cluster_94,0.11764705882352941,0.0,0.8823529411764706,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,1.0,0.0
cluster_114,0.13043478260869565,0.0,0.8695652173913043,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,1.0,0.0
cluster_123,1.0,0.0,0.0,0.625,0.0,0.0,0.16666666666666666,0.20833333333333334,1.0,0.0
cluster_125,0.17647058823529413,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.17647058823529413,1.0,0.0
cluster_129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_142,0.27586206896551724,0.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.27586206896551724,1.0,0.0
cluster_151,0.30434782608695654,0.0,0.6956521739130435,0.08695652173913043,0.043478260869565216,0.0,0.17391304347826086,0.0,1.0,0.0
cluster_152,0.984375,0.0,0.015625,0.96875,0.0,0.0,0.0,0.015625,1.0,0.0
cluster_154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_158,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_227,0.8235294117647058,0.0,0.17647058823529416,0.058823529411764705,0.5882352941176471,0.0,0.058823529411764705,0.11764705882352941,1.0,0.0
cluster_246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_257,0.09722222222222222,0.0,0.9027777777777778,0.06944444444444445,0.0,0.0,0.0,0.027777777777777776,0.0,1.0
cluster_266,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
