cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_1,0.027522935779816515,0.0,0.9724770642201834,0.027522935779816515,0.0,0.0,0.0,0.0,1.0,0.0
cluster_5,0.005039193729003359,0.0,0.9949608062709966,0.005039193729003359,0.0,0.0,0.0,0.0,0.9820828667413214,0.01791713325867861
cluster_7,0.01744186046511628,0.0,0.9825581395348837,0.01744186046511628,0.0,0.0,0.0,0.0,0.9127906976744186,0.0872093023255814
cluster_8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_9,0.05263157894736842,0.0,0.9473684210526316,0.05263157894736842,0.0,0.0,0.0,0.0,1.0,0.0
cluster_11,0.019230769230769232,0.0,0.9807692307692307,0.019230769230769232,0.0,0.0,0.0,0.0,0.9615384615384616,0.038461538461538464
cluster_15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9873417721518988,0.012658227848101266
cluster_17,0.0036900369003690036,0.0,0.996309963099631,0.0036900369003690036,0.0,0.0,0.0,0.0,0.9188191881918819,0.08118081180811808
cluster_20,0.008676789587852495,0.0,0.9913232104121475,0.006507592190889371,0.0,0.0,0.0,0.0021691973969631237,0.8286334056399133,0.17136659436008678
cluster_21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_24,0.010183299389002037,0.0,0.9898167006109979,0.008146639511201629,0.0,0.0,0.0,0.002036659877800407,0.9409368635437881,0.059063136456211814
cluster_25,0.002967359050445104,0.0,0.9970326409495549,0.002967359050445104,0.0,0.0,0.0,0.0,0.9910979228486647,0.008902077151335312
cluster_27,0.016666666666666666,0.0,0.9833333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
cluster_28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856
cluster_30,0.005434782608695652,0.0,0.9945652173913043,0.005434782608695652,0.0,0.0,0.0,0.0,0.855072463768116,0.14492753623188406
cluster_31,0.0028089887640449437,0.0,0.9971910112359551,0.0028089887640449437,0.0,0.0,0.0,0.0,0.9831460674157303,0.016853932584269662
cluster_32,0.007874015748031496,0.0,0.9921259842519685,0.007874015748031496,0.0,0.0,0.0,0.0,0.8976377952755905,0.10236220472440945
cluster_33,0.020242914979757085,0.0,0.979757085020243,0.020242914979757085,0.0,0.0,0.0,0.0,0.9919028340080972,0.008097165991902834
cluster_34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9867549668874173,0.013245033112582781
cluster_37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9568345323741008,0.04316546762589928
cluster_39,0.017857142857142856,0.0,0.9821428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,1.0,0.0
cluster_40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.15789473684210525
cluster_42,0.12920089619118746,0.0,0.8707991038088125,0.12920089619118746,0.0,0.0,0.0,0.0,0.9484690067214339,0.05153099327856609
cluster_45,0.01639344262295082,0.0,0.9836065573770492,0.01639344262295082,0.0,0.0,0.0,0.0,1.0,0.0
cluster_46,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9354838709677419,0.06451612903225806
cluster_55,0.03067484662576687,0.0,0.9693251533742331,0.03067484662576687,0.0,0.0,0.0,0.0,1.0,0.0
