cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_6,0,0,1,0,0,0,0,0,0.989974937,0.010025063
cluster_13,0.020833333,0,0.979166667,0,0,0,0,0.020833333,1,0
cluster_14,0.085365854,0,0.914634146,0.067073171,0.00203252,0,0,0.016260163,1,0
cluster_16,0,0,1,0,0,0,0,0,1,0
cluster_19,0.003891051,0,0.996108949,0.001945525,0,0,0,0.001945525,1,0
cluster_24,0.004545455,0,0.995454545,0.004545455,0,0,0,0,1,0
cluster_25,0.016666667,0,0.983333333,0.008333333,0.008333333,0,0,0,1,0
cluster_27,0.017167382,0,0.982832618,0.017167382,0,0,0,0,1,0
cluster_28,0,0,1,0,0,0,0,0,1,0
cluster_68,0,0,1,0,0,0,0,0,1,0
cluster_82,0.008474576,0,0.991525424,0.008474576,0,0,0,0,0.993220339,0.006779661
cluster_85,0,0,1,0,0,0,0,0,0.243243243,0.756756757
cluster_86,0,0,1,0,0,0,0,0,1,0
cluster_91,0,0,1,0,0,0,0,0,0.515463918,0.484536082
cluster_105,0,0,1,0,0,0,0,0,1,0
cluster_115,0.002570694,0,0.997429306,0.002570694,0,0,0,0,1,0
cluster_117,0.007874016,0,0.992125984,0.007874016,0,0,0,0,1,0
cluster_118,0,0,1,0,0,0,0,0,1,0
cluster_119,0,0,1,0,0,0,0,0,1,0
cluster_127,0,0,1,0,0,0,0,0,1,0
cluster_131,0,0,1,0,0,0,0,0,1,0
cluster_132,0.001805054,0,0.998194946,0,0,0,0,0.001805054,0.998194946,0.001805054
cluster_136,0.001760563,0,0.998239437,0.001760563,0,0,0,0,0.998239437,0.001760563
cluster_138,0.009478673,0,0.990521327,0.009478673,0,0,0,0,1,0
cluster_145,0.003994674,0,0.996005326,0.001331558,0,0,0,0.002663116,1,0
cluster_152,0.002994012,0,0.997005988,0.002994012,0,0,0,0,0.97005988,0.02994012
cluster_172,0,0,1,0,0,0,0,0,1,0
cluster_173,0,0,1,0,0,0,0,0,1,0
cluster_175,0.002155172,0,0.997844828,0.002155172,0,0,0,0,1,0
cluster_229,0,0,1,0,0,0,0,0,0.933333333,0.066666667
