"","AAA_21","Amidase","ArsR","BPL_C","BrxP_00001","CARF3..CARF_MK_CARF_00100186","CARF3..CARF_TM_CARF3..CARF_TM","COG1203","COG1353","COG2254","CRM1_repeat_3","Cas_Cas2CT1978","Csm1_B","DUF1178","DUF1421","DUF1515","DUF1883","DUF2371","DUF2631","DUF2774","DUF2855","DUF2973","DUF3015","DUF354","DUF4106","DUF434","DUF4364","DUF4381","DUF4516","DUF5320","DUF5713","DUF5775","DUF6102","DUF6358","DUF6385","DUF6489","DUF6744","DevR_archaea","Effector_00002","FANCI_S1.cap","FKBP_C","Fe.ADH","FeoB_associated","Fer4_NifH","Glyco_tranf_2_5","Glyco_transf_17","HARP","HEase_00015","HerA_C","HobA","IL33","IetA_00001","IetA_00002","JetC1_00010","JetC2_00005","KH_7","LPD11","MSP7_C","MTase_II_00015","MazE_antitoxin","Mid2","MoaC","NTP_transferase","ODV.E18","Omega_Repress","Orf78","PBP","PDDEXK_5","PIG.U","PLRV_ORF5","PYC_OADA","PetM","Phage_Arf","Phage_Capsid_P3","Proteasome","PspB","PtuA1_00003","RE_SinI","RHH_3","RHH_7","RIFIN","RRXRR","Ribosomal_L12","RmlD_sub_bind","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","SPOUT_MTase","SRP1_TIP1","SecE","Sld5","Spermine_synth","SspB_00009","Sulf_coat_C","THUMP","Thioredoxin","Transthyretin","TrbC","VapB_antitoxin","VbhA","WCOB","WD40_3","XisI","YdjM","ZorA2_00003","Zot","bMG3","bpMoxR","cas4","cas_HTH","cd09655","cd09753","cluster1","cluster2","cluster3","cluster7","dUTPase_2","icity0062","icity0111","ivWA","kleA_kleC","mREase_IV_00005","retron_I.C3","shah_acc_0057","tRNA_Me_trans_M","vATP.synt_E","zf.DBF"
"327",0.04040404,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002525253,0.002525253,0,0,0,0,0,0,0.204545455,0,0,0,0,0,0,0,0,0,0.002525253,0,0.022727273,0,0,0,0,0,0,0,0.002525253,0,0,0.02020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343434343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.009615385,0.288461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048076923,0,0,0,0,0,0,0,0,0,0.038461538,0,0.048076923,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0.107843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.264705882,0,0,0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0.057692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046153846,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"520",0.010416667,0.510416667,0.03125,0,0.041666667,0.364583333,0.041666667,0,0,0,0,0,0,0,0.4375,0,0,0,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302083333,0.302083333,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0.302083333,0,0,0,0,0,0.479166667,0,0,0.114583333,0,0.5,0,0,0,0,0,0,0,0.520833333,0.0625,0,0,0.197916667,0,0,0,0,0,0,0,0,0,0.427083333,0.302083333,0,0,0.447916667,0,0,0,0,0.364583333,0,0,0,0,0,0,0,0,0.458333333,0,0.479166667,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0.364583333
"149",0.080808081,0,0.171717172,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04040404,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0.01010101,0.01010101,0,0,0,0,0,0,0,0,0,0,0.04040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04040404,0,0,0
"537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38372093,0,0,0,0,0.011627907,0,0,0,0,0,0,0,0,0,0.011627907,0,0,0,0,0,0,0,0,0.418604651,0,0,0,0,0,0,0,0,0.069767442,0,0.337209302,0,0.453488372,0,0,0,0,0,0,0,0,0,0,0,0,0.220930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0.011627907,0,0,0,0,0,0,0,0,0,0.5,0.011627907,0,0,0,0,0,0,0,0,0
"448",0,0,0.010273973,0,0,0,0.030821918,0,0.010273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003424658,0,0,0,0,0,0,0.003424658,0,0,0,0,0,0,0,0,0,0,0.051369863,0,0,0,0,0,0,0,0,0.02739726,0.191780822,0,0,0.047945205,0,0,0,0,0,0,0,0,0.075342466,0.037671233,0,0,0.184931507,0,0,0,0,0,0,0,0,0,0.010273973,0.003424658,0.006849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020547945,0,0,0,0,0,0,0,0,0,0,0.010273973,0.010273973,0,0,0,0,0,0,0.047945205,0,0,0,0,0,0,0,0,0
"218",0,0,0,0,0,0.131944444,0.097222222,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145833333,0.020833333,0.013888889,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097222222,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076388889,0,0.111111111,0,0.013888889,0,0,0,0,0,0,0,0.104166667,0,0,0,0,0,0,0,0,0
"468",0.337748344,0,0,0,0,0,0,0,0.331125828,0,0.331125828,0,0,0,0,0.40397351,0.350993377,0,0,0,0,0.364238411,0.331125828,0,0,0,0.390728477,0.331125828,0,0.337748344,0,0,0,0,0,0,0.317880795,0,0,0.331125828,0,0,0.397350993,0,0,0,0,0.364238411,0,0.357615894,0,0,0,0,0,0,0,0.370860927,0,0,0.38410596,0,0,0.033112583,0.450331126,0,0,0,0,0.013245033,0.430463576,0,0,0.569536424,0,0.331125828,0,0,0.331125828,0.350993377,0.331125828,0,0.40397351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390728477,0,0.390728477,0,0.331125828,0,0,0.331125828,0,0,0,0,0,0,0,0,0,0,0,0.536423841,0.364238411,0,0,0,0.377483444,0.01986755,0,0,0
