"","X23S_rRNA_IVP","AAA_15","AbiEi_WP_060913257.1","Aga_Cas4.like","BAF","Bac_globin","Baseplate_J","BrxP_00001","CARF3..CARF_MK_CARF_00100051","CARF3..CARF_MK_CARF_01001287","CARF3..CARF_MK_CARF_01001976","CARF_TM_CARF_TM","CCDC84","Cas1b_WP_035727688.1","Cas1b_WP_142933338.1","Cas2b_WP_014295803.1","Cas2b_WP_028460064.1","Cas3b_WP_162272993.1","Cas3b_WP_184405015.1","Cas4b_WP_019267510.1","Cas4b_WP_154810420.1","Cas5b_WP_048038568.1","Cas6b_N","Cas6b_WP_066632526.1","Cyclase_00009","DNA_circ_N","DUF1923","DUF1981","DUF2001","DUF2612","DUF2634","DUF2768","DUF2924","DUF3072","DUF3199","DUF3301","DUF3667","DUF3789","DUF4170","DUF4242","DUF4406","DUF4783","DUF5370","DUF6148","DUF6273","DUF6341","DUF658","DUF6617","DUF6791","DUF722","DUF935","DpdE_00003","DpdE_00013","ERF","Endonuc.dimeris","Engrail_1_C_sig","Fish20603","Flexi_CP","Fur_reg_FbpA","Glucosamine_iso","Gp138_N","HK97.gp10_like","Herpes_UL1","Hjc","IetA_00002","KH_5","KPP10_Orf10","MPTase.PolyVal","Mor","NAT_N","NODP","PLDc_2","Phage_GP20","Phage_GPD","Phage_GPO","Phage_Mu_F","Phage_P2_GpU","Phage_TAC_5","Phage_cap_E","Phage_capsid_2","Phage_integrase","Phage_min_cap2","Phage_prot_Gp6","Phage_sheath_1","Phage_tail_S","Phage_term_sma","Post_transc_reg","Pox_F17","Prim.Pol","PtuB2_00006","RVT_thumb","RecU","RhodobacterPufX","SAS4","Terminase_3","TraH_2","VirE","XhlA","YkyB","bpMoxR","cas_Csh2","cls000004","cluster1","cluster17","cluster2","cluster3","cluster7","dUTPase_2","drt.UG29","icity0040","mkCas0122","mkCas0183","pfam09484","retron_type_III_A5_wh_cluster1689_1","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_VI_hth_cluster2_1","zf.nanos"
"838",0,0,0,0,0,0,0,0,0,0,0.819327731092437,0,0,0,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508403361344538,0,0,0,0.546218487394958,0,0.449579831932773,0,0,0,0,0,0.00840336134453781,0,0,0,0,0.352941176470588,0,0,0,0,0,0.319327731092437,0,0,0,0,0,0.30672268907563,0.428571428571429,0,0,0,0.323529411764706,0,0,0.319327731092437,0,0,0,0.361344537815126,0.382352941176471,0,0,0.411764705882353,0,0,0,0,0,0.0210084033613445,0,0.449579831932773,0.42436974789916,0,0,0,0,0,0,0.323529411764706,0.34453781512605,0,0.0210084033613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756302521008403,0
"438",0,0,0,0,0,0,0,0,0,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0.0523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080952380952381,0.00952380952380952,0,0.0619047619047619,0.0714285714285714,0,0,0.0523809523809524,0,0,0,0,0,0.157142857142857,0,0,0.0523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714285714286,0,0,0,0,0.314285714285714,0
"1080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.332,0,0,0.072,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0.004,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0.116,0
"309",0,0.0048780487804878,0,0,0,0,0.00975609756097561,0.0926829268292683,0,0,0,0,0,0,0,0,0,0,0.0414634146341463,0,0,0,0,0,0,0,0,0,0.0170731707317073,0,0.0121951219512195,0,0,0,0,0,0,0.0048780487804878,0,0,0,0,0,0,0,0,0,0,0,0.173170731707317,0.141463414634146,0,0,0,0.102439024390244,0,0,0,0,0,0,0.0170731707317073,0,0.0658536585365854,0,0,0,0,0,0,0,0,0,0.0146341463414634,0,0,0.0146341463414634,0.0170731707317073,0,0.0195121951219512,0.0390243902439024,0.0341463414634146,0.0390243902439024,0.0170731707317073,0,0,0,0,0,0,0,0,0,0,0.0390243902439024,0,0,0.0268292682926829,0,0,0,0,0,0,0.0926829268292683,0.124390243902439,0.0780487804878049,0,0,0.0219512195121951,0,0.0951219512195122,0,0,0.0146341463414634,0.407317073170732,0
"260",0.233676975945017,0.00343642611683849,0,0,0,0,0.257731958762887,0.0103092783505155,0,0,0,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343642611683849,0.0584192439862543,0,0,0.013745704467354,0,0,0,0,0,0,0,0,0,0.0309278350515464,0,0,0,0,0,0.00343642611683849,0.0103092783505155,0.0103092783505155,0,0,0.00687285223367698,0,0,0,0,0,0,0,0,0,0.00687285223367698,0,0,0,0,0,0,0,0,0.240549828178694,0,0,0.223367697594502,0,0.0962199312714777,0,0.0481099656357388,0.013745704467354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481099656357388,0,0,0,0,0,0,0.0103092783505155,0,0,0,0,0.240549828178694,0,0,0,0,0,0.103092783505155,0
"105",0,0,0,0,0.0749063670411985,0,0.0636704119850187,0.0124843945068664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624219725343321,0,0.0574282147315855,0.0112359550561798,0,0,0.048689138576779,0,0,0,0,0,0,0,0.0911360799001248,0,0,0,0,0,0,0,0.187265917602996,0.00624219725343321,0,0.192259675405743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624219725343321,0,0,0,0,0,0,0.0137328339575531,0,0.00499375780274657,0,0,0.277153558052434,0.114856429463171,0,0,0,0,0,0,0,0,0,0,0,0,0.0274656679151061,0,0,0.124843945068664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00998751560549313,0
"650",0,0,0,0.294117647058824,0.399159663865546,0,0,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222689075630252,0,0,0,0,0,0.399159663865546,0,0,0,0,0,0.138655462184874,0,0,0,0,0,0,0,0,0,0,0.369747899159664,0,0,0.180672268907563,0,0,0.0252100840336134,0.0126050420168067,0,0,0.0420168067226891,0,0.0126050420168067,0.00840336134453781,0.247899159663866,0,0.0210084033613445,0.00420168067226891,0,0,0.0210084033613445,0.222689075630252,0,0.256302521008403,0,0.294117647058824,0.218487394957983,0,0.00840336134453781,0,0,0,0,0,0.340336134453782,0,0.323529411764706,0.340336134453782,0.340336134453782,0,0,0,0,0,0,0,0.390756302521008,0,0
"171",0.0299145299145299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585470085470085,0.641025641025641,0,0.205128205128205,0.547008547008547,0.683760683760684,0,0.602564102564103,0,0.405982905982906,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213675213675214,0,0,0,0.00854700854700855,0,0,0,0,0,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641025641025641,0.0213675213675214,0,0,0,0,0,0,0,0,0,0,0.636752136752137,0,0,0.0299145299145299,0
"1573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0,0.124031007751938,0,0,0,0,0,0,0.0310077519379845,0,0,0.0193798449612403,0,0,0,0,0,0,0.158914728682171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00859598853868195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0.134670487106017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"712",0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0.008,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0.12,0,0.212,0.024,0,0,0,0,0,0,0,0,0.112,0,0,0.012,0,0,0,0,0.012,0,0.012,0.012,0,0,0,0,0,0,0,0,0.02,0,0
"858",0,0,0,0.321428571428571,0.22972972972973,0,0,0.0762548262548263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348455598455598,0,0,0.00579150579150579,0,0,0.22972972972973,0,0,0,0,0,0.353281853281853,0,0,0,0,0,0,0,0,0,0,0.083011583011583,0,0,0.340733590733591,0,0,0,0,0,0,0,0,0.000965250965250965,0,0.0743243243243243,0,0,0,0,0,0.111969111969112,0.327220077220077,0,0,0,0.316602316602317,0.0685328185328185,0,0.00675675675675676,0,0,0,0,0,0.0762548262548263,0,0.0762548262548263,0.083011583011583,0.0762548262548263,0,0,0,0,0,0,0,0.250965250965251,0,0
