,gold_environmental_diversity,ncbi_sample_diversity,ncbi_species_diversity
cluster_3,0.116115075,1,NA
cluster_6,NA,1,0.627336281
cluster_18,0.650022422,0.191433255,NA
cluster_23,NA,1,1
cluster_25,1,0.380946586,NA
cluster_26,1,1,1
cluster_28,NA,1,NA
cluster_29,0.9697239,1,0.782291078
cluster_32,0.86991553,1,0.721928095
cluster_45,1,0.350010593,1
cluster_46,1,1,0.119116027
cluster_47,1,NA,0.76243773
cluster_48,NA,NA,0.537376085
cluster_53,0.960229718,1,0.833920068
cluster_75,0.889317631,1,0.934385619
cluster_94,0.937230563,1,0.896240625
cluster_114,1,NA,NA
cluster_123,0.761664725,NA,NA
cluster_125,0.844695873,NA,NA
cluster_129,1,1,1
cluster_142,0.803635544,NA,0.918295834
cluster_151,1,NA,NA
cluster_152,1,NA,0.337371094
cluster_154,1,NA,NA
cluster_156,1,NA,1
cluster_158,1,NA,NA
cluster_227,1,NA,NA
cluster_246,1,1,0.918295834
cluster_257,NA,NA,0.398387082
cluster_266,1,NA,1
