,gold_environmental_diversity,ncbi_sample_diversity,ncbi_species_diversity
cluster_1,0.439496987,1,0.246347867
cluster_4,0.744503889,0.591672779,1
cluster_5,0.918295834,1,0.952819531
cluster_7,1,0.177389453,0.99107606
cluster_14,1,NA,NA
cluster_16,1,NA,NA
cluster_17,1,NA,NA
cluster_18,1,NA,NA
cluster_20,1,NA,NA
cluster_23,1,NA,NA
cluster_27,1,NA,NA
cluster_28,1,NA,NA
cluster_29,1,NA,NA
cluster_39,1,NA,NA
cluster_41,1,1,0.811278124
cluster_42,1,1,NA
cluster_43,0.684038436,1,1
cluster_50,1,NA,NA
cluster_51,NA,1,0.94639463
cluster_55,1,NA,1
cluster_56,0.863120569,1,1
cluster_60,1,0.970950594,0.435424429
cluster_62,1,1,0.205592508
cluster_63,NA,NA,1
