,gold_environmental_diversity,ncbi_sample_diversity,ncbi_species_diversity
cluster_1,0.577888749,0.236675687,0.96466001
cluster_5,NA,0.439496987,0.037568194
cluster_7,0.744561042,0.94639463,0.9277348
cluster_8,1,0.543564443,0.919720789
cluster_9,0.681050284,0.960229718,0.846765686
cluster_11,0.913444321,0.789690082,0.923875287
cluster_15,0.633264332,0.859297508,0.82029524
cluster_17,0.803376415,0.928383212,0.709288027
cluster_20,0.820623983,0.748448241,0.799348574
cluster_21,NA,NA,0.71233827
cluster_22,0.912505605,1,0.9697239
cluster_24,0.831314289,0.826111352,0.942562528
cluster_25,0.788643129,0.708927815,0.689735017
cluster_27,0.727883016,NA,0.93110661
cluster_28,0.64929104,0.764825643,0.880961399
cluster_30,0.659821805,0.852792488,0.40801168
cluster_31,0.854002831,0.315913839,0.635977299
cluster_32,0.903359723,0.912045722,0.587439491
cluster_33,0.729846699,1,0.516291948
cluster_34,1,1,0.624852623
cluster_37,0.697186209,NA,0.876357639
cluster_38,0.666164643,0.930586129,0.881511507
cluster_39,0.768002869,0.276195428,0.860593433
cluster_40,1,0.303119763,1
cluster_41,0.650022422,0.082836553,0.973976032
cluster_42,0.807165418,0.136938634,0.231115766
cluster_45,0.647537634,1,0.829605966
cluster_46,1,NA,0.853282033
cluster_52,NA,NA,0.306034642
cluster_55,NA,NA,0.872078819
