,node,cluster
1,Ga0315268_10000001::0:32570,NA
2,Ga0194128_10004437::0:20546,2
3,Ga0194121_10038827::0:4085,2
4,Ga0190305_1002385::0:3900,3
5,Ga0190304_1005024::0:5095,3
6,Ga0187894_10005457::0:12954,NA
7,Ga0134096_1003023::0:10137,5
8,Ga0134095_1006327::0:4393,5
9,JGI24721J44947_10078318::0:2424,6
10,Ga0123519_10100742::0:2467,6
11,Ga0209538_1000816::0:17359,7
12,Ga0315312_1000030::48859:88859,8
13,Ga0315280_10000040::0:37151,8
14,Ga0315277_10003767::0:20503,8
15,Ga0212092_1005454::0:11016,8
16,Ga0315279_10001842::10222:33790,8
17,Ga0081473_149550::0:2073,9
18,Ga0079995_1069961::0:2687,9
19,Ga0272445_1011083::0:3835,7
20,Ga0081529_119029::0:9183,7
21,Ga0079041_1003234::0:2813,NA
22,JGI24721J44947_10035958::0:4679,NA
23,Ga0272448_1020143::0:6050,NA
24,JGI24721J44947_10034205::0:4874,NA
25,JGI24721J26819_10024588::0:4179,NA
26,Ga0078972_1012907::0:14108,NA
27,Ga0167615_1000639::0:10037,8
28,Ga0153798_10002266::0:27827,5
29,LNJB01000009.1::0:32869,8
30,LNGF01000053.1::0:8849,8
31,LNGE01000061.1::0:8805,8
32,Ga0315314_1000846::0:30005,8
33,Ga0302243_1000039::85091:128981,8
34,Ga0302237_1002317::0:11960,8
35,Ga0255347_1000169::12111:52111,8
36,Ga0255346_1000285::67830:89241,8
37,Ga0255344_1000429::0:20035,8
38,Ga0255343_1000463::42684:64095,8
39,Ga0255342_1000355::0:20035,8
40,Ga0255341_1000588::38533:59944,8
41,Ga0255340_1000403::36045:72229,8
42,Ga0209719_1000187::0:32531,8
43,Ga0209718_1000137::57096:97096,8
44,Ga0208196_1004705::0:10416,8
45,Ga0208195_1001135::0:30428,8
46,Ga0116185_1004646::0:11098,8
47,Ga0116183_1009677::0:8160,8
48,Ga0116178_10006273::0:8403,8
49,Ga0116177_10005753::0:8969,8
50,Ga0116176_10004604::0:9990,8
51,Ga0116174_10001089::5192:25486,8
52,Ga0116172_10001874::0:18821,8
53,Ga0116161_1003653::0:13552,8
54,Ga0116160_1003613::0:13400,8
55,Draft_11733587::0:9462,8
56,MTKZ01000117.1::81937:121937,7
57,JGI24710J26742_10009324::0:6875,7
58,Ga0334901_1001151::0:29606,7
59,Ga0334900_1001209::0:29589,7
60,Ga0334898_1001280::0:29640,7
61,Ga0255340_1000352::0:39172,7
62,Ga0209718_1000036::0:30624,7
63,Ga0209606_1000658::0:36556,7
64,Ga0116161_1000035::115840:148257,7
65,Ga0116159_1000028::0:30497,7
66,Ga0116149_1008873::0:8391,7
67,NODE_246_length_86137_cov_10.806103::0:43905,5
68,LFRR01000001.1::0:20886,5
69,LFRM01001830.1::0:20688,5
70,JGI24712J26585_10004369::0:10773,5
71,Ga0265294_10004308::0:17848,5
72,Ga0134105_1000135::41796:86311,5
73,Ga0134104_1000248::0:43973,5
74,Ga0134103_1000224::0:29212,5
75,Ga0134102_1000157::0:43973,5
76,Ga0134101_1000255::0:43973,5
