,node,cluster
1,VHOA01000020.1::25307:46648,NA
2,VCBM01000001.1::1207689:1247689,NA
3,UXAV01000026.1::0:20041,NA
4,ULWZ01060296.1::0:16049,NA
5,RRZT011719312.1::0:3697,NA
6,QXIL01000004.1::0:21466,NA
7,QENU01000023.1::0:20591,NA
8,QALG01000038.1::0:26927,NA
9,QRHI01000003.1::135013:175013,NA
10,PDWI01002333.1::6465:28646,NA
11,REGX01451347.1::0:4775,NA
12,OMWQ01000006.1::0:30764,NA
13,OMYL01000001.1::0:56207,NA
14,OMWP01000001.1::176427:216427,NA
15,ONAV01000025.1::1496:41496,NA
16,OMVZ01000003.1::217727:257727,NA
17,RRZU012728061.1::0:9656,NA
18,ULXM01067846.1::0:6042,NA
19,OPYI01000008.1::67206:107206,NA
20,OLQN01005213.1::0:6691,NA
21,OLQM01007301.1::0:6366,NA
22,UMKV01026011.1::0:7091,NA
23,OLOX01000725.1::12818:34168,NA
24,OLOR01000120.1::33774:74956,NA
25,OLOM01001753.1::0:14129,NA
26,OLQG01000012.1::6650:46650,NA
27,UPZF01000019.1::6594:32322,NA
28,OLOJ01000784.1::7056:32322,NA
29,UMGH01007536.1::0:20071,NA
30,OLNH01000934.1::0:19139,NA
31,OLQN01000001.1::84090:124090,NA
32,OLNG01000618.1::0:27118,NA
33,OLNT01003180.1::0:7168,NA
34,OLHE01003559.1::0:8359,NA
35,UMCF01045383.1::0:7262,NA
36,OQVR01006004.1::0:4008,NA
37,QKVC01000037.1::0:8201,NA
38,UQXK01000013.1::3616:40708,NA
39,OJMJ01002343.1::0:7177,NA
40,ULTY01016921.1::0:17223,NA
41,OMGY01000935.1::0:30029,NA
42,URDW01000020.1::0:19691,NA
43,OQVO01000243.1::0:18054,NA
44,OQVL01003946.1::0:8910,NA
45,UQCF01000021.1::0:26537,NA
46,OLSB01000594.1::11022:40568,NA
47,OLPR01001675.1::0:17818,NA
48,OLHA01000433.1::0:24605,NA
49,OJAW01000548.1::0:25981,NA
50,OIZL01000605.1::0:25240,NA
51,OIZA01000329.1::0:26537,NA
52,SFKS01000016.1::0:20607,NA
53,PDWJ01003383.1::0:15324,NA
54,OIXU01000220.1::0:20488,NA
55,ULWN01032889.1::0:8542,NA
56,OLGE01001016.1::1056:30489,NA
57,OIWU01000649.1::0:39139,NA
58,OIWU01002449.1::0:15731,NA
59,OIWT01000943.1::0:21745,NA
60,OLGE01000816.1::8129:34520,NA
61,OIWU01000076.1::0:26146,NA
62,USHY01000001.1::62845:89463,NA
63,OIEN01000059.1::62051:89463,NA
64,OMFY01000002.1::11113:51113,NA
65,OMBA01000114.1::34221:65593,NA
66,OLZB01000026.1::62233:102695,NA
67,OLZA01000057.1::11148:51148,NA
68,UMES01030190.1::0:4088,NA
69,OKVP01008315.1::0:3016,NA
70,OHQO01002181.1::0:5973,NA
71,URBT01000002.1::116900:156900,NA
72,ULSO01013485.1::154215:181695,NA
73,OHAS01007247.1::0:5883,NA
74,OHAC01007713.1::0:4972,NA
75,OOAA01002741.1::0:6880,NA
76,ULQK01075198.1::0:4421,NA
77,RCNI01000027.1::3447:43447,NA
