,node,cluster
1,genome_block_9150|Ga0257077_10319054:1-10119,NA
2,genome_block_8525|Ga0216340_10230424:1-11912,NA
3,genome_block_9150|Ga0257077_10231760:1-10596,NA
4,genome_block_8474|Ga0216342_10168259:1-11900,NA
5,genome_block_9189|Ga0257090_10210440:1-12342,NA
6,genome_block_9170|Ga0257089_10132197:1-10243,NA
7,genome_block_8438|Ga0216341_10296112:1-10961,NA
8,genome_block_9128|Ga0257076_10154604:1-12809,NA
9,genome_block_8455|Ga0216339_10110934:1-12802,NA
10,genome_block_8447|Ga0216345_10140438:1-10566,NA
11,genome_block_4882|Ga0187911_10109435:1-11081,NA
12,genome_block_9219|Ga0257091_10024418:1577-21611,NA
13,genome_block_9183|Ga0257090_10000208:41611-61645,NA
14,genome_block_9165|Ga0257089_10000305:152711-172745,NA
15,genome_block_9144|Ga0257077_10003802:29851-49885,NA
16,genome_block_9124|Ga0257076_10011127:1-10498,NA
17,genome_block_8469|Ga0216342_10000382:146011-166045,NA
18,genome_block_8435|Ga0216341_10017164:1-10531,NA
19,genome_block_4899|Ga0187910_10028121:1-10527,NA
20,genome_block_4863|Ga0187908_10024702:1-10527,NA
21,genome_block_8447|Ga0216345_10179195:1-10408,NA
22,genome_block_4599|Ga0187907_10434607:1-10533,NA
23,genome_block_4849|Ga0187909_10112239:1-12947,NA
24,genome_block_38470|UMIQ01025149.1:1-17787,NA
25,genome_block_38470|UMIQ01025149.1:1-14435,NA
26,genome_block_38429|UMGC01053905.1:1-12313,NA
27,genome_block_38429|UMGC01053905.1:1-11911,NA
28,genome_block_38356|UMAO01062704.1:1-11030,NA
29,genome_block_38355|UMAQ01028575.1:1-10743,NA
30,genome_block_38393|UMDE01012343.1:1-11224,NA
31,genome_block_38272|ULVC01049583.1:1-11065,NA
32,genome_block_38167|ULNW01038887.1:1-10381,NA
33,genome_block_38148|ULMC01033948.1:1-11881,NA
34,genome_block_38148|ULMC01033948.1:1-11407,NA
35,genome_block_38133|ULJF01027170.1:1-11959,NA
36,genome_block_38133|ULJF01027170.1:1-11622,NA
37,genome_block_38133|ULJF01027170.1:1-10938,NA
38,genome_block_38007|OWJQ01000489.1:4010-24039,NA
39,genome_block_38007|OWJQ01000489.1:3326-23355,NA
40,genome_block_37987|OQWM01005905.1:1-16151,NA
41,genome_block_37982|OQVR01001204.1:1-19848,NA
42,genome_block_37943|OMGR01000078.1:60087-80116,NA
43,genome_block_37938|OMGJ01000105.1:37218-57247,NA
44,genome_block_37934|OMFM01001910.1:1-13673,NA
45,genome_block_37934|OMFM01001910.1:1-13336,NA
46,genome_block_37934|OMFM01001910.1:1-13118,NA
47,genome_block_37928|OMER01008960.1:1-11464,NA
48,genome_block_37928|OMER01008960.1:1-11245,NA
49,genome_block_37915|OMCR01004143.1:1-10437,NA
50,genome_block_37914|OMCL01002134.1:1-12179,NA
51,genome_block_37914|OMCL01002134.1:1-11842,NA
52,genome_block_37940|OMGM01000408.1:1-10969,NA
53,genome_block_37929|OMEW01000565.1:1-11193,NA
54,genome_block_37912|OMCQ01000423.1:15849-35878,NA
55,genome_block_37912|OMCQ01000423.1:15165-35194,NA
56,genome_block_38173|ULOM01003539.1:1-13016,NA
57,genome_block_37904|OMBO01002948.1:1-10561,NA
58,genome_block_37904|OMBN01001576.1:1-12562,NA
59,genome_block_37892|OMAC01007090.1:1-12216,NA
60,genome_block_37892|OMAC01007090.1:1-11879,NA
61,genome_block_37892|OMAC01007090.1:1-11660,NA
62,genome_block_37888|OLZO01004357.1:1-12452,NA
63,genome_block_37880|OLYJ01000279.1:7651-27680,NA
64,genome_block_37928|OMER01002221.1:1-14400,NA
65,genome_block_38174|ULOM01034005.1:5778-25806,NA
66,genome_block_37904|OMBO01006187.1:1-12009,NA
67,genome_block_37892|OMAC01007753.1:1-10719,NA
68,genome_block_37855|OLWL01009270.1:1-11342,NA
69,genome_block_37892|OMAC01003407.1:1-12039,NA
70,genome_block_37855|OLWL01009865.1:1-11027,NA
71,genome_block_37854|OLWK01001991.1:1-15318,NA
72,genome_block_38160|ULNE01021424.1:1-10582,NA
73,genome_block_38178|ULOZ01021420.1:74301-94330,NA
74,genome_block_38178|ULOZ01021420.1:73141-93174,NA
75,genome_block_37756|OLOW01012294.1:1-11812,NA
76,genome_block_37756|OLOW01012294.1:1-11594,NA
77,genome_block_37875|OLXR01008195.1:1-11849,NA
78,genome_block_38194|ULQC01094303.1:1-12182,NA
79,genome_block_37728|OLNF01015827.1:1-13133,NA
80,genome_block_37728|OLNF01015827.1:1-12796,NA
81,genome_block_37728|OLNF01015827.1:1-12578,NA
82,genome_block_38135|ULJT01030697.1:1-11572,NA
83,genome_block_37626|OJOI01005968.1:1-11505,NA
84,genome_block_37613|OJNJ01020671.1:1-10952,NA
85,genome_block_37666|OJRZ01005899.1:1-12325,NA
86,genome_block_37598|OLIW01007075.1:1-12336,NA
87,genome_block_37995|OWID01001095.1:1-14490,NA
88,genome_block_37995|OWID01001095.1:1-14211,NA
89,genome_block_37552|OIZG01021156.1:1-10562,NA
90,genome_block_37550|OIZL01001449.1:1-11466,NA
91,genome_block_37534|OIYO01000120.1:490-20519,NA
92,genome_block_37527|OIXQ01001428.1:1-19068,NA
93,genome_block_37823|OLSB01013964.1:1-11400,NA
94,genome_block_38225|ULRX01010193.1:1-10044,NA
95,genome_block_38219|ULRQ01008239.1:1-10744,NA
96,genome_block_38218|ULRN01022995.1:19000-39029,NA
97,genome_block_37912|OMCQ01000423.1:15631-35660,NA
98,genome_block_37467|OLDR01004081.1:1-11217,NA
99,genome_block_37467|OLDR01004081.1:1-10615,NA
100,genome_block_38235|ULSR01026256.1:1-10353,NA
101,genome_block_37433|OLAB01002300.1:1-11162,NA
102,genome_block_38218|ULRO01084380.1:1-13264,NA
103,genome_block_37396|OKVH01002816.1:1-13530,NA
104,genome_block_37396|OKVH01002816.1:1-13312,NA
105,genome_block_37396|OKVH01002816.1:1-12846,NA
106,genome_block_37752|OLOH01009932.1:1-12786,NA
107,genome_block_37355|OHZQ01000055.1:42174-62203,NA
108,genome_block_37355|OHZQ01000055.1:41837-61866,NA
109,genome_block_37355|OHZQ01000055.1:41619-61648,NA
110,genome_block_37355|OHZQ01000055.1:41153-61182,NA
111,genome_block_37914|OMCO01000225.1:10400-30429,51
112,genome_block_37880|OLYJ01000401.1:1-11967,51
113,genome_block_37360|OIAG01000111.1:1-12636,51
114,genome_block_37382|OKUZ01007156.1:1-10750,NA
115,genome_block_37405|OKXI01019987.1:1-10762,NA
116,genome_block_37291|OHQT01002788.1:1-10249,NA
117,genome_block_37291|OHQT01002788.1:1-10194,NA
118,genome_block_37321|OKUA01001591.1:1-11578,NA
119,genome_block_37279|OHPJ01001102.1:1-19374,NA
120,genome_block_37279|OHPJ01001102.1:1-19037,NA
121,genome_block_37279|OHPJ01001102.1:1-18819,NA
122,genome_block_37275|OHOQ01002796.1:1-11253,NA
123,genome_block_37294|OHRG01006338.1:1-10635,NA
124,genome_block_37246|OHLB01002490.1:1-13983,NA
125,genome_block_37246|OHLB01002490.1:1-10328,NA
126,genome_block_37947|OMGV01006952.1:1-11721,NA
127,genome_block_37318|OHTV01000243.1:772-20801,NA
128,genome_block_37318|OHTV01000243.1:217-20246,NA
129,genome_block_37231|OHJI01000209.1:846-20875,NA
130,genome_block_37231|OHJI01000209.1:1312-21341,NA
131,genome_block_37880|OLYJ01000279.1:7185-27214,NA
132,genome_block_38297|ULWF01009099.1:1-11143,NA
133,genome_block_37260|OHMX01001895.1:1-12573,NA
134,genome_block_37260|OHMX01001895.1:1-12507,NA
135,genome_block_37223|OHIY01002190.1:1-13601,NA
136,genome_block_37223|OHIY01002190.1:1-13546,NA
137,genome_block_37222|OHIR01000441.1:18625-38664,NA
138,genome_block_37222|OHIR01000441.1:18570-38598,NA
139,genome_block_37209|OHHB01004267.1:1-11958,NA
