,node,cluster
1,UMCQ01012961.1::0:2688,NA
2,SLJN01000304.1::0:3902,NA
3,SDBV01064523.1::0:3831,NA
4,SDBU01121812.1::0:2256,NA
5,SBXL01000036.1::0:20008,NA
6,SBVO01000008.1::0:20001,NA
7,SBTJ01000017.1::44516:86831,NA
8,SBLT01000006.1::1108371:1151035,NA
9,ULVN01097737.1::0:10390,6
10,PYQI02000080.1::3552:24611,NA
11,PYQH02000073.1::0:20136,NA
12,OWIO01004781.1::0:6398,NA
13,QWCR01002252.1::0:3817,NA
14,OIPE01002531.1::0:2669,NA
15,OIBI01005109.1::0:2480,NA
16,OKSO01007015.1::0:2699,NA
17,OHMD01007849.1::0:2054,NA
18,OHLZ01005960.1::0:1772,NA
19,OHHE01004902.1::0:2921,NA
20,OHQF01006223.1::0:3437,14
21,ULTE01019446.1::0:20181,NA
22,UMEZ01027706.1::0:4223,NA
23,OIWM01025895.1::0:1714,NA
24,OGDF01031983.1::0:2527,NA
25,ODMR01012498.1::0:3078,NA
26,OEGG01004141.1::0:3264,19
27,OECT01010507.1::0:2594,NA
28,ODWI01003257.1::0:3408,NA
29,ULZG01048520.1::0:2163,NA
30,OLWX01008724.1::0:2266,NA
31,OLNY01026395.1::0:1888,NA
32,OLNF01024582.1::0:2175,NA
33,OGZO01015939.1::0:3141,NA
34,OIED01016038.1::0:1403,NA
35,OCQY01006003.1::0:2969,NA
36,OCPY01006150.1::0:3037,14
37,ULUN01041865.1::0:2001,NA
38,ULQM01033094.1::0:2149,NA
39,OGCO01024751.1::0:2457,NA
40,OCHG01017813.1::0:1805,NA
41,UMLC01018605.1::0:3429,NA
42,UMCR01040167.1::0:3301,NA
43,UMCD01018876.1::0:1523,NA
44,OBII01007123.1::0:2102,NA
45,OCHJ01003805.1::0:6542,NA
46,UMLG01044536.1::0:9648,NA
47,UMLF01063965.1::0:9699,NA
48,UMKP01041809.1::0:14762,NA
49,UMIM01040350.1::0:10075,NA
50,UMHW01047120.1::0:13810,NA
51,UMGF01087336.1::0:13370,NA
52,UMFY01048949.1::0:13695,NA
53,UMDJ01015975.1::0:9793,NA
