,node,cluster
1,JGI11876J12873_1008954::0:2354,1
2,PVWJ01000005.1::50634:74969,2
3,Ga0123349_10082765::0:2205,3
4,Ga0209208_10023004::0:6909,4
5,Ga0116186_1007465::0:8144,5
6,Ga0116184_10017855::0:4555,5
7,ODGY01002874.1::0:5973,6
8,Ga0209822_1010647::0:3275,7
9,Ga0114919_10040575::0:3477,7
10,Ga0335394_10017588::0:8020,2
11,Ga0105044_10091657::0:3457,2
12,Ga0105155_1002597::0:5815,3
13,Ga0197143_1001253::0:20011,3
14,Ga0078972_1006206::0:28822,8
15,JGI10216J12902_104076311::0:4653,8
16,Ga0212120_1000604::0:33204,8
17,Ga0209394_1000486::0:31023,8
18,Ga0209080_1000443::0:27701,8
19,Ga0315279_10001442::0:39621,8
20,Ga0209537_1009090::0:6523,3
21,LJCR01000313.1::0:4422,8
22,draft_10478088::0:6839,9
23,Ga0208244_100154::0:51388,8
24,Ga0207421_10008667::0:10482,3
25,Ga0074074_11752::63116:83364,8
26,ODIN01000442.1::0:18687,8
27,Ga0115077_100762::0:21547,8
28,Ga0114323_1000352::0:29200,8
29,Ga0114321_1000167::2427:44834,8
30,Ga0114019_1000248::0:28971,8
31,Ga0105777_100365::0:27497,8
32,Ga0104971_100160::0:32902,8
33,CP024705.1::2170278:2210278,8
34,CP024704.1::1860902:1906461,8
35,CP022657.1::1179104:1219104,3
36,CP021434.1::2615589:2674525,3
37,PABH01000066.1::21675:48077,8
38,NPIA01000007.1::19456:85366,8
39,JGI24721J44947_10009051::0:12905,8
40,Ga0209991_10000393::0:19640,8
41,Ga0209986_10001105::0:26229,8
42,Ga0209607_1008366::0:7026,8
43,Ga0207951_100337::0:20001,8
44,Ga0207433_10010600::0:14299,8
45,Ga0172371_10001568::0:36422,8
46,Ga0116151_10003345::0:14417,8
47,Ga0114919_10001282::0:20073,8
48,Ga0078972_1004235::6886:40120,8
49,CP017692.1::2907455:2969410,8
50,CP002629.1::3046547:3086547,8
51,CP024955.1::2661474:2780403,3
52,CP003732.1::2419391:2483808,3
53,Ga0318466_10027188::0:33221,3
54,Ga0209537_1013576::0:4508,3
55,Ga0153944_1002535::0:7006,3
56,FOXR01000003.1::117187:156898,3
57,CP027782.1::1746979:1805539,3
58,CP003001.1::2532865:2658696,3
59,OEIV010001401.1::0:11066,8
60,Ga0315292_10000614::0:17161,8
61,Ga0315290_10000244::0:33943,8
62,Ga0315279_10000224::15311:78497,8
63,Ga0315278_10000034::42093:101367,8
64,Ga0315273_10000236::0:37020,8
65,Ga0209426_1000276::44147:65122,8
66,Ga0137361_10011519::0:6370,8
67,Ga0126377_10000610::0:21967,8
68,Ga0116169_1001033::4911:25324,8
69,Ga0070698_100001787::0:23926,8
70,ATTH01000001.1::898839:960600,8
71,OFDK01000192.1::0:20025,3
72,LZFO01000005.1::0:27909,3
73,JGIcombinedJ22296_100052::0:31322,3
74,JGI24712J26585_10001898::0:17521,3
75,JGI24711J26586_10003283::0:10807,3
76,JAGB01000003.1::372024:396578,3
77,Ga0307249_10014470::0:53245,3
78,Ga0224486_100041::0:35181,3
79,Ga0209537_1003998::0:12961,3
80,Ga0153798_10010001::0:11690,3
81,Ga0153798_10000226::17371:57371,3
82,Ga0134094_1002531::0:15185,3
83,Ga0134092_1002587::0:13570,3
84,Ga0134092_1000027::50363:90363,3
85,Ga0134091_1003509::0:9537,3
86,Ga0073360_113::74936:97293,3
87,CAKP01000157.1::0:16008,3
88,AQWN01000001.1::219688:270905,3
89,RECJ01000303.1::0:4857,8
