,node,cluster
1,VFQO010000510.1::0:20059,NA
2,VFQM010000543.1::0:20059,NA
3,UMLF01069676.1::48687:88687,NA
4,UMCH01006308.1::0:23815,NA
5,UMAL01036076.1::0:2524,3
6,UMBF01024346.1::0:20304,NA
7,ULWV01066343.1::0:6813,NA
8,RDZA01000017.1::0:35066,NA
9,RDYR01000070.1::36472:84460,NA
10,RDYN01000069.1::0:29424,NA
11,RDYH01000033.1::2647:50635,NA
12,RDYB01000097.1::0:29424,NA
13,REAO01000062.1::0:21288,NA
14,REAI01000129.1::1215:41215,NA
15,REAA01000529.1::1250:21570,NA
16,RDZK01000106.1::0:23766,NA
17,RDXU01000185.1::0:12871,NA
18,RDXJ01000082.1::1244:25475,NA
19,QQVO01000018.1::124419:164419,NA
20,QQVJ01000069.1::4070:25059,NA
21,QQVB01000009.1::58621:98621,NA
22,P_A23_Liq_3_FmtDRAFT_1000312::0:10393,NA
23,P_A23_Liq_2_FmtDRAFT_1000332::0:10406,NA
24,P_A23_Liq_1_FmtDRAFT_1000212::0:10386,NA
25,PXSR01000016.1::1555:24749,NA
26,PXSN01000006.1::32170:72170,NA
27,QPLR01000008.1::0:25163,NA
28,RCIH01000012.1::1182:54377,NA
29,PSYU01000003.1::340492:391678,NA
30,UMGH01045783.1::0:4129,NA
31,ULQW01002713.1::0:12031,NA
32,OLSQ01010885.1::0:4255,NA
33,ULNQ01038803.1::0:18753,NA
34,UMKV01026011.1::0:7091,NA
35,UMDR01004716.1::0:9593,NA
36,UMDQ01044292.1::29337:55132,NA
37,OLPY01001907.1::0:13663,NA
38,UQLV01000028.1::8210:30873,NA
39,OLOG01000602.1::8210:30873,NA
40,OLGJ01000005.1::333:40333,NA
41,OLNF01019743.1::0:2650,NA
42,OLGA01011859.1::0:3513,NA
43,OJNY01012622.1::0:2559,NA
44,ULLP01009263.1::0:3011,NA
45,OLRF01000047.1::131502:171502,NA
46,OLJA01001078.1::0:15106,NA
47,OJNW01003799.1::0:4866,NA
48,OJNV01004133.1::0:4866,NA
49,UMGJ01037852.1::0:4081,NA
50,QWCK01014992.1::0:4351,NA
51,OLFU01005913.1::0:5935,NA
52,OIZG01002769.1::0:7762,NA
53,UAUL01000013.1::0:22706,NA
54,OIYS01005295.1::0:4212,NA
55,OIZP01006147.1::0:4020,NA
56,OIYO01000436.1::2777:35264,NA
