,node,cluster
1,SMDD01000002.1::599436:639935,NA
2,PVTZ01000002.1::319025:362797,NA
3,JXLU01000068.1::0:28425,2
4,JXLT01000152.1::0:28425,2
5,Ga0315902_10070427::0:3915,NA
6,Ga0315906_10029039::0:6011,NA
7,Ga0310786_10000498::41075:64283,NA
8,Ga0265300_10009497::0:7166,NA
9,Ga0224531_1003731::0:5509,6
10,Ga0209347_1001125::763:40763,2
11,Ga0272448_1000009::55908:95908,NA
12,JGI25318J35512_1000036::5924:45924,8
13,JGI25317J35169_1000064::5924:45924,8
14,Ga0209346_1000086::88353:128353,8
15,Ga0209024_1000141::7536:47536,8
16,PGUZ01000040.1::8775:46641,2
17,Ga0194138_10000041::31126:62032,9
18,Ga0194137_10000782::0:20263,9
19,Ga0190286_1000026::42014:82014,2
20,Ga0190284_1000056::5846:45846,2
21,Ga0190283_1000033::5843:45843,2
22,Ga0318466_10003307::70507:112577,9
23,Ga0307249_10003519::70507:112577,9
24,Ga0257091_10011554::0:22493,9
25,Ga0257090_10000709::7323:47323,9
26,Ga0257089_10002280::0:20378,9
27,Ga0257077_10005251::7324:41495,9
28,Ga0257076_10001026::0:27870,9
29,Ga0216342_10001278::38695:80765,9
30,Ga0216341_10003466::1987:41987,9
31,Ga0216340_10004700::7324:41495,9
32,Ga0216339_10000953::0:27870,9
33,Ga0187911_10005200::11874:34431,9
34,Ga0187910_10012047::0:22345,9
35,Ga0187909_10003393::11874:42092,9
36,Ga0187908_10005395::0:22428,9
37,Ga0187907_10004075::11874:42366,9
38,Ga0187893_10030303::0:6183,NA
39,Ga0187892_10021495::0:6092,NA
40,Ga0187875_10000002::164518:204518,6
41,Ga0310375_1000740::0:18551,6
42,Ga0272448_1002516::0:20057,6
43,Ga0255356_1000619::0:24019,6
44,Ga0255355_1000451::0:24862,6
45,Ga0228536_1001421::0:22882,6
46,Ga0228535_1002034::0:22882,6
47,JGI25327J35509_1000171::18119:53018,8
48,Ga0207864_1000512::0:33509,8
49,Ga0182737_1000461::14120:54120,8
50,Ga0182736_1000182::96411:124657,6
51,Ga0182016_10037500::0:3969,NA
52,Ga0181520_10026654::0:6252,NA
53,Ga0181517_10013435::0:6102,NA
54,Ga0180438_10001173::0:21790,NA
55,Ga0180437_10001534::1808:39454,NA
56,Ga0182741_1010636::0:6648,NA
57,Ga0180217_1009153::0:6633,NA
58,Ga0265293_10000501::0:26610,NA
59,Ga0172382_10023677::0:7146,NA
60,Ga0315902_10009323::0:13152,NA
61,Ga0315900_10013054::0:10136,NA
62,Ga0172373_10026164::0:5820,NA
63,Ga0172375_10000149::39289:79289,2
64,Ga0172374_1000020::28101:68101,2
65,Ga0172370_10000205::34546:74546,2
66,Ga0302253_1000212::17731:54434,17
67,Ga0172373_10000102::17510:57510,17
68,Ga0172368_10000749::0:27186,17
69,Ga0172367_10000100::67014:107014,17
70,Ga0172366_10006963::0:8874,NA
71,Ga0172365_10003200::0:12187,NA
72,Ga0172363_10008583::0:8169,NA
73,Ga0163154_10028959::0:4807,NA
74,Ga0163152_10020085::0:5915,NA
75,SYKN01000111.1::0:20234,17
76,SYFQ01000292.1::19366:39548,17
77,SXRR01000018.1::19366:39940,17
78,SXMN01000298.1::19366:39753,17
79,SXGU01331912.1::19366:39940,17
80,SXGT01730257.1::19366:39753,17
81,SXGS01229850.1::0:20234,17
82,SXGR01475332.1::19366:39548,17
83,Ga0311363_10010091::0:18119,17
84,Ga0311362_10005124::0:20033,17
85,Ga0311361_10010724::0:18135,17
86,Ga0311359_10007134::0:15828,17
87,Ga0311358_10006879::0:17159,17
88,Ga0311346_10007174::0:19521,17
89,Ga0311345_10009177::0:14799,17
90,Ga0302319_10004918::0:20024,17
91,Ga0302269_1000420::5214:25439,17
92,SDBT01004073.1::0:24928,6
93,Ga0182014_10001887::0:27381,6
94,Ga0163151_10064729::0:2546,NA
